frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,807724.472024,29323.000000,0.000000
4,683427.477253,28380.000000,0.000000
8,660389.231969,29314.000000,0.000000
16,677355.640856,26983.000000,0.000000
32,1019946.367777,32565.000000,0.000000
64,1052071.458002,30548.000000,0.000000
128,909304.597014,30261.000000,0.000000
256,1051713.401908,37456.000000,0.000000
512,1020592.025581,27800.000000,0.000000
1024,882524.914647,33185.000000,0.000000
2048,1269078.220805,98189.000000,0.000000
4096,1082176.713228,65339.000000,0.000000
8192,1081988.308115,30032.000000,0.000000
16384,1978220.671389,188558.000000,0.000000
32768,2469769.505503,164989.000000,0.000000
65536,966880.997788,48712.000000,0.000000
