frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,903804.796061,28409.000000,0.000000
4,561170.954827,31171.000000,0.000000
8,877992.535356,27911.000000,0.000000
16,696794.631146,30710.000000,0.000000
32,846699.943561,30248.000000,0.000000
64,681607.926384,29774.000000,0.000000
128,1007579.164379,31030.000000,0.000000
256,1209310.632562,97508.000000,0.000000
512,1090857.529495,43489.000000,0.000000
1024,935290.346324,28417.000000,0.000000
2048,1647361.364929,129650.000000,0.000000
4096,2204337.570119,189019.000000,0.000000
8192,1774067.109046,140953.000000,0.000000
16384,1888296.035039,123293.000000,0.000000
32768,838298.486011,29797.000000,0.000000
65536,1842118.258248,119072.000000,0.000000
