frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,751024.608593,45658.000000,22916.430918
4,695935.340247,39607.000000,1307.500669
8,933571.595914,36769.000000,22371.316010
16,1211026.254097,39714.000000,53516.560876
32,783963.648850,39076.000000,231.384961
64,1188856.200786,68662.000000,1357.392721
128,1215113.242856,46056.000000,46769.004009
256,1141621.794100,61340.000000,43094.527843
512,809583.021180,38643.000000,15362.286549
1024,1113690.836508,57990.000000,105229.693998
2048,1922789.433256,170479.000000,138474.464985
4096,1205285.843864,86761.000000,719080.532251
8192,977526.475870,38181.000000,240306.279708
16384,1133218.471461,38773.000000,420723.279645
32768,1254516.113636,37833.000000,472560.065837
65536,106004.699735,29773.000000,0.000000
