frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,1835689.830785,44350.000000,81189.517642
4,1262849.519707,22742.000000,46256.970686
8,934601.400692,20547.000000,9040.218416
16,2463801.812459,40138.000000,7101.214685
32,756653.738637,16388.000000,25686.713297
64,3635392.176698,104648.000000,194729.471134
128,2069149.157772,38485.000000,212626.151715
256,452420.135569,13143.000000,26981.277416
512,2266075.790223,35293.000000,197969.212887
1024,2211809.358007,45768.000000,557992.522855
2048,793707.671999,16966.000000,160297.304141
4096,971748.229320,21598.000000,82392.632844
8192,1806505.737076,31497.000000,661757.222548
16384,1368702.218039,21059.000000,562018.825322
32768,885837.025462,16712.000000,411402.050696
65536,2173718.771029,37829.000000,1023939.312731
