frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,543551.921745,9202.000000,11321.696472
4,484208.005868,8991.000000,3597.662436
8,318873.220555,7369.000000,8745.601866
16,373254.258495,12182.000000,29537.876836
32,505683.914260,13870.000000,27596.393206
64,1699562.080668,26078.000000,70337.283605
128,736577.616546,12611.000000,49990.564190
256,2899183.639982,47758.000000,331507.368864
512,1889809.681372,31717.000000,219191.979954
1024,1192379.450650,18754.000000,156732.390421
2048,2043581.770241,29874.000000,357353.159875
4096,2166973.896939,42366.000000,74983.106251
8192,1208893.132093,21055.000000,70927.469707
16384,2025242.252564,38794.000000,1377398.737164
32768,1998047.933528,46498.000000,1782084.418873
65536,3752990.188360,61017.000000,2304005.912788
