frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,514045.710416,12310.000000,7190.762129
4,570793.567092,16701.000000,2733.093668
8,432000.247168,9133.000000,5109.757235
16,302983.709879,7822.000000,128.984495
32,790661.306567,25910.000000,2401.155139
64,995802.124136,20647.000000,33078.978279
128,1168453.076076,37573.000000,26122.121009
256,200587.925778,5264.000000,25326.877048
512,2425336.059658,51616.000000,248730.955834
1024,3724517.100595,64320.000000,149337.673505
2048,3546516.908183,49739.000000,587941.581178
4096,917162.528706,20400.000000,44779.344401
8192,1737842.519165,36884.000000,644824.699958
16384,6199614.977414,81213.000000,3036452.341285
32768,1806815.241552,38261.000000,1390557.941838
65536,1573923.829912,33571.000000,0.000000
