frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,1288086.100383,41434.000000,4278.063814
4,4955720.363209,75929.000000,199016.007472
8,1481718.937170,21953.000000,37666.442864
16,209278.558173,6415.000000,180.072208
32,717772.075549,14009.000000,32242.925472
64,1484790.334298,31595.000000,1547.018099
128,1431744.607432,23624.000000,78822.962390
256,2165509.766787,35029.000000,277452.664347
512,1004794.538965,29509.000000,25649.798927
1024,1977122.231783,31308.000000,22054.500108
2048,651397.982587,14058.000000,75264.569088
4096,2762951.542456,63297.000000,134263.342655
8192,473164.367192,11362.000000,211283.849286
16384,1152552.248404,33885.000000,451927.375903
32768,149795.485923,6317.000000,102162.165296
65536,899987.926055,20539.000000,0.000000
