frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,2011048.766414,34358.000000,58537.545575
4,398694.348429,9476.000000,12360.124029
8,282526.971822,7704.000000,9222.216545
16,1228138.147147,20752.000000,27242.469528
32,378853.429406,8890.000000,957.447649
64,549215.954593,14361.000000,35560.958831
128,1205664.922521,20726.000000,127381.049843
256,3687338.628643,43905.000000,316408.580206
512,673661.987329,12633.000000,67892.291970
1024,1491473.429267,32467.000000,62407.292699
2048,1710109.856509,35959.000000,593793.462507
4096,2463120.062020,37591.000000,143102.283046
8192,2031845.533932,46626.000000,168634.462510
16384,1019264.517185,26350.000000,28788.976762
32768,1782096.316463,31472.000000,413139.650235
65536,4039932.171775,75324.000000,1657659.842336
