frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode3_maximum_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode5_maximum_flow_time,Dynamic_njobs100_mode6_maximum_flow_time
16,97022.027112,97022.027112,97022.027112,97022.027112,97022.027112,97022.027112,45113.000000,45113.000000,45113.000000,45113.000000,45113.000000,45113.000000
4,78840.094394,78840.094394,78840.094394,78840.094394,78840.094394,78840.094394,25430.000000,25430.000000,25430.000000,25430.000000,25430.000000,25430.000000
1024,236945.451733,236945.451733,236945.451733,236945.451733,236945.451733,236945.451733,110475.000000,110475.000000,110475.000000,110475.000000,110475.000000,110475.000000
256,114542.332463,114542.332463,114542.332463,114542.332463,114542.332463,114542.332463,52469.000000,52469.000000,52469.000000,52469.000000,52469.000000,52469.000000
64,214666.709958,214666.709958,214666.709958,214666.709958,214666.709958,214666.709958,154421.000000,154421.000000,154421.000000,154421.000000,154421.000000,154421.000000
16384,302577.535519,302577.535519,302577.535519,302577.535519,302577.535519,302577.535519,128485.000000,128485.000000,128485.000000,128485.000000,128485.000000,128485.000000
128,320030.711937,320030.711937,320030.711937,320030.711937,320030.711937,320030.711937,248857.000000,248857.000000,248857.000000,248857.000000,248857.000000,248857.000000
4096,292201.318426,291563.711754,290302.692717,290302.692717,290302.692717,290302.692717,144111.000000,144111.000000,144111.000000,144111.000000,144111.000000,144111.000000
8,363532.110593,363532.110593,363532.110593,363532.110593,363532.110593,363532.110593,309363.000000,309363.000000,309363.000000,309363.000000,309363.000000,309363.000000
32,1360316.516535,350261.758031,350261.758031,350261.758031,350261.758031,350261.758031,213418.000000,265461.000000,265461.000000,265461.000000,265461.000000,265461.000000
8192,547779.648104,547779.648104,547779.648104,547779.648104,547779.648104,547779.648104,251209.000000,251209.000000,251209.000000,251209.000000,251209.000000,251209.000000
512,601267.126188,601267.126188,601267.126188,601267.126188,601267.126188,601267.126188,311430.000000,311430.000000,311430.000000,311430.000000,311430.000000,311430.000000
2,458239.820499,448429.808336,448429.808336,448429.808336,448429.808336,448429.808336,288977.000000,299694.000000,299694.000000,299694.000000,299694.000000,299694.000000
65536,874156.872887,874156.872887,874156.872887,874156.872887,874156.872887,874156.872887,293148.000000,293148.000000,293148.000000,293148.000000,293148.000000,293148.000000
32768,897284.827201,830651.133516,830651.133516,830651.133516,830651.133516,830651.133516,259584.000000,291276.000000,291276.000000,291276.000000,291276.000000,291276.000000
2048,471684.643891,471684.643891,471684.643891,471684.643891,471684.643891,471684.643891,373214.000000,373214.000000,373214.000000,373214.000000,373214.000000,373214.000000
