coherence_time,L2_norm_flow_time
2,105994036.57859841
4,132202045.89158499
8,145501402.92357498
16,159858194.25937158
32,147743768.8699295
64,120761121.06235938
128,125474855.7381335
256,84546519.80093479
512,119425223.9089021
1024,84411048.9490337
2048,131923227.67871709
4096,46182875.8898157
8192,255987804.7677332
16384,151403567.0035264
32768,108183737.1710085
65536,184360818.527574
