mean_inter_arrival_time,L2_norm_flow_time
20.0,345509571.67481244
22.0,335836554.8414007
24.0,326274157.32250136
26.0,316665493.04818535
28.0,307094784.4477294
30.0,297029357.79810727
32.0,287602450.84052837
34.0,278298440.15616
36.0,268805114.3432579
38.0,259239392.57183474
40.0,249811943.08446604
