mean_inter_arrival_time,L2_norm_flow_time
20.0,210110211.81321868
22.0,199658705.21729192
24.0,189701013.78194016
26.0,179280750.14154917
28.0,169191617.80523077
30.0,159167044.75783265
32.0,149056897.53788614
34.0,139033341.8143515
36.0,128942358.53321874
38.0,118915964.70630674
40.0,108371966.41562274
