frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,839961.442847,40023.000000,164.975756
4,952848.664165,41247.000000,303.975328
8,725467.150575,39551.000000,481.055090
16,979866.180286,40989.000000,32618.921595
32,927907.047808,50705.000000,462.933041
64,1079968.862447,46055.000000,47636.569776
128,1157223.816242,40946.000000,58119.697461
256,888092.294692,44362.000000,85492.038027
512,1340717.541216,101425.000000,129788.392474
1024,961227.108358,44214.000000,108622.629373
2048,1317638.932184,78471.000000,213830.064572
4096,1168977.928782,78818.000000,487298.541906
8192,1170668.263188,41003.000000,187065.365097
16384,873505.846089,42538.000000,307232.338972
32768,1025142.870973,38144.000000,460171.799424
65536,1036971.915312,85569.000000,776880.035942
