frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,543110.720118,37220.000000,0.000000
4,901941.689742,37674.000000,0.000000
8,598651.344332,39080.000000,0.000000
16,948381.222943,40228.000000,0.000000
32,1013491.817718,39098.000000,0.000000
64,618563.475112,38613.000000,0.000000
128,1018198.688239,39948.000000,0.000000
256,666396.807504,40939.000000,0.000000
512,1783509.655105,162882.000000,0.000000
1024,1248575.466352,66402.000000,0.000000
2048,1164101.826422,53370.000000,0.000000
4096,2834294.557659,216214.000000,0.000000
8192,2004953.854421,214792.000000,0.000000
16384,2753733.296735,189518.000000,0.000000
32768,1700561.797757,116198.000000,0.000000
65536,2894001.362255,170479.000000,0.000000
