frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,853406.787273,43731.000000,21002.016379
4,778387.951746,42861.000000,112.862749
8,699212.631101,44846.000000,564.396137
16,1047402.142367,46521.000000,257.398524
32,1144486.980205,42716.000000,60203.070545
64,827998.458711,40469.000000,70962.814227
128,1069129.333196,51524.000000,40588.329665
256,1583812.074880,122525.000000,192562.123511
512,1346807.620317,112936.000000,121898.262867
1024,1475048.188010,111623.000000,177214.470058
2048,1816598.052965,164425.000000,623473.026688
4096,1697799.649054,158857.000000,317462.754437
8192,1900356.563455,155861.000000,342890.703559
16384,605416.902814,44194.000000,234894.703176
32768,1084692.762174,60186.000000,710069.994739
65536,1547455.288042,157068.000000,1139840.524673
