frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,730879.723143,37229.000000,0.000000
4,885195.554934,39547.000000,0.000000
8,881494.954267,39546.000000,0.000000
16,910505.662592,39582.000000,0.000000
32,1024097.152150,37213.000000,0.000000
64,1229399.771420,87494.000000,0.000000
128,1099048.360959,59271.000000,0.000000
256,1103034.019615,37234.000000,0.000000
512,1404544.423605,118200.000000,0.000000
1024,1070642.859732,36294.000000,0.000000
2048,1056775.762796,55719.000000,0.000000
4096,1243600.170637,102394.000000,0.000000
8192,1118466.640484,47675.000000,0.000000
16384,1053503.151481,35380.000000,0.000000
32768,731355.725506,36824.000000,0.000000
65536,2015289.418615,147127.000000,0.000000
