frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,574632.525949,44659.000000,83.516465
4,788417.165893,42797.000000,24220.256192
8,666410.004610,40486.000000,122.233383
16,973041.906949,46056.000000,1857.823996
32,1294030.835328,79253.000000,1485.571607
64,1084039.609817,47655.000000,44759.419154
128,902530.963269,40019.000000,52901.121047
256,1343402.479924,103365.000000,99389.778353
512,1470894.926511,130834.000000,149988.040297
1024,1295042.677930,73329.000000,122316.807005
2048,1177646.605137,45723.000000,119381.363784
4096,904609.194264,48480.000000,220377.647290
8192,1245607.126955,53882.000000,391726.448493
16384,1493486.072678,123817.000000,882875.352107
32768,1941983.949285,125023.000000,1341937.340857
65536,178610.925405,30729.000000,164758.588844
