frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,550016.089176,33504.000000,0.000000
4,510972.714867,31656.000000,0.000000
8,806412.880282,32562.000000,0.000000
16,957014.873992,40014.000000,0.000000
32,1352422.367611,113540.000000,0.000000
64,924971.165233,31318.000000,0.000000
128,1115565.761851,33035.000000,0.000000
256,1536399.408826,155489.000000,0.000000
512,908214.050652,34008.000000,0.000000
1024,1141741.974362,78671.000000,0.000000
2048,1198779.946652,43059.000000,0.000000
4096,1237410.400799,66556.000000,0.000000
8192,1824948.875241,148845.000000,0.000000
16384,582274.522712,33985.000000,0.000000
32768,1222530.562912,94352.000000,0.000000
65536,3498406.418020,220106.000000,0.000000
