frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,546093.629782,40951.000000,144.072898
4,721192.989666,39085.000000,205.975727
8,701611.266544,40936.000000,182.696470
16,560518.384560,37689.000000,747.434278
32,708335.090800,34916.000000,36040.824408
64,1018184.515979,38160.000000,41565.831665
128,1342015.968387,103216.000000,59251.700406
256,1171789.966304,42012.000000,76062.286167
512,938253.573209,40062.000000,83147.970288
1024,1246560.957412,123670.000000,52969.742420
2048,1095074.231008,55188.000000,238325.569803
4096,1084221.500736,69713.000000,409784.521212
8192,1095626.715959,40004.000000,285637.530032
16384,773451.108680,41904.000000,214224.376998
32768,993052.052857,69143.000000,281565.856556
65536,6021310.712898,294834.000000,5600324.680800
