arrival_rate,bp_L,bp_H,FCFS_percentage,RMLF_percentage,total_rounds
40.00,30.00,12.00,100.00,0.00,397
32.00,16.77,64.00,100.00,0.00,397
34.00,30.00,15.00,100.00,0.00,397
38.00,30.00,9.00,100.00,0.00,397
40.00,30.00,15.00,100.00,0.00,397
38.00,30.00,6.00,100.00,0.00,397
36.00,30.00,6.00,100.00,0.00,397
32.00,30.00,18.00,99.75,0.25,397
36.00,30.00,9.00,100.00,0.00,397
40.00,16.77,64.00,100.00,0.00,397
34.00,30.00,6.00,100.00,0.00,397
36.00,30.00,18.00,98.99,1.01,397
40.00,30.00,6.00,100.00,0.00,397
34.00,30.00,12.00,100.00,0.00,397
34.00,16.77,64.00,100.00,0.00,397
38.00,30.00,15.00,100.00,0.00,397
38.00,16.77,64.00,100.00,0.00,397
38.00,30.00,12.00,100.00,0.00,397
32.00,30.00,6.00,100.00,0.00,397
36.00,16.77,64.00,100.00,0.00,397
30.00,30.00,9.00,100.00,0.00,397
40.00,30.00,9.00,100.00,0.00,397
38.00,30.00,18.00,98.74,1.26,397
32.00,30.00,9.00,100.00,0.00,397
36.00,30.00,12.00,100.00,0.00,397
32.00,30.00,12.00,100.00,0.00,397
34.00,30.00,9.00,100.00,0.00,397
34.00,30.00,18.00,98.99,1.01,397
36.00,30.00,15.00,100.00,0.00,397
32.00,30.00,15.00,99.50,0.50,397
30.00,16.77,64.00,100.00,0.00,397
40.00,30.00,18.00,100.00,0.00,397
30.00,30.00,6.00,100.00,0.00,397
30.00,30.00,12.00,100.00,0.00,397
30.00,30.00,15.00,100.00,0.00,397
30.00,30.00,18.00,99.50,0.50,397
40.00,7.92,512.00,41.31,58.69,397
34.00,7.92,512.00,44.08,55.92,397
40.00,4.64,32768.00,30.48,69.52,397
26.00,16.77,64.00,100.00,0.00,396
38.00,7.92,512.00,37.03,62.97,397
36.00,7.92,512.00,38.29,61.71,397
26.00,30.00,9.00,100.00,0.00,396
24.00,30.00,18.00,99.24,0.76,396
34.00,4.64,32768.00,33.50,66.50,397
28.00,30.00,12.00,100.00,0.00,397
26.00,30.00,15.00,100.00,0.00,397
32.00,4.07,262144.00,29.22,70.78,397
26.00,5.65,4096.00,30.48,69.52,397
38.00,4.64,32768.00,29.72,70.28,397
40.00,5.65,4096.00,31.99,68.01,397
28.00,30.00,6.00,100.00,0.00,397
30.00,7.92,512.00,36.36,63.64,396
26.00,4.07,262144.00,32.24,67.76,397
28.00,16.77,64.00,100.00,0.00,397
32.00,4.64,32768.00,31.49,68.51,397
28.00,30.00,15.00,100.00,0.00,397
32.00,7.92,512.00,40.05,59.95,397
24.00,30.00,15.00,100.00,0.00,396
28.00,30.00,9.00,100.00,0.00,397
24.00,4.07,262144.00,32.49,67.51,397
22.00,30.00,18.00,98.99,1.01,396
28.00,30.00,18.00,98.74,1.26,397
22.00,4.07,262144.00,34.51,65.49,397
26.00,30.00,6.00,100.00,0.00,397
38.00,4.07,262144.00,33.00,67.00,397
22.00,30.00,12.00,100.00,0.00,396
24.00,7.92,512.00,40.25,59.75,395
28.00,7.92,512.00,39.04,60.96,397
22.00,16.77,64.00,100.00,0.00,396
22.00,30.00,9.00,100.00,0.00,395
34.00,5.65,4096.00,33.50,66.50,397
24.00,30.00,9.00,100.00,0.00,396
26.00,4.64,32768.00,28.54,71.46,396
20.00,30.00,12.00,100.00,0.00,395
20.00,16.77,64.00,100.00,0.00,395
24.00,30.00,12.00,100.00,0.00,397
20.00,4.64,32768.00,31.23,68.77,397
36.00,5.65,4096.00,34.01,65.99,397
20.00,30.00,6.00,100.00,0.00,395
22.00,7.92,512.00,40.30,59.70,397
20.00,4.07,262144.00,32.07,67.93,396
24.00,5.65,4096.00,35.52,64.48,397
24.00,16.77,64.00,100.00,0.00,396
30.00,4.64,32768.00,29.11,70.89,395
36.00,4.07,262144.00,29.97,70.03,397
28.00,4.64,32768.00,32.32,67.68,396
20.00,30.00,18.00,98.98,1.02,394
26.00,7.92,512.00,39.29,60.71,397
22.00,4.64,32768.00,31.99,68.01,397
38.00,5.65,4096.00,31.57,68.43,396
22.00,5.65,4096.00,35.86,64.14,396
30.00,5.65,4096.00,34.76,65.24,397
20.00,30.00,15.00,100.00,0.00,396
22.00,30.00,15.00,99.75,0.25,396
26.00,30.00,12.00,100.00,0.00,397
26.00,30.00,18.00,99.49,0.51,396
40.00,4.07,262144.00,27.46,72.54,397
24.00,30.00,6.00,100.00,0.00,396
24.00,4.64,32768.00,29.26,70.74,393
36.00,4.64,32768.00,25.69,74.31,397
32.00,5.65,4096.00,33.25,66.75,397
22.00,30.00,6.00,100.00,0.00,396
28.00,5.65,4096.00,31.99,68.01,397
34.00,4.07,262144.00,27.20,72.80,397
20.00,7.92,512.00,40.36,59.64,394
28.00,4.07,262144.00,25.44,74.56,397
20.00,5.65,4096.00,33.75,66.25,397
20.00,30.00,9.00,100.00,0.00,396
30.00,4.07,262144.00,25.69,74.31,397
36.00,30.00,9.00,100.00,0.00,397
32.00,30.00,9.00,100.00,0.00,397
32.00,30.00,6.00,100.00,0.00,397
34.00,30.00,18.00,99.50,0.50,397
38.00,16.77,64.00,100.00,0.00,397
36.00,30.00,6.00,100.00,0.00,397
34.00,30.00,12.00,100.00,0.00,397
32.00,30.00,12.00,100.00,0.00,397
36.00,16.77,64.00,100.00,0.00,397
38.00,30.00,12.00,100.00,0.00,397
40.00,16.77,64.00,100.00,0.00,397
32.00,16.77,64.00,100.00,0.00,397
36.00,30.00,15.00,99.75,0.25,397
36.00,30.00,18.00,98.99,1.01,397
38.00,30.00,9.00,100.00,0.00,397
34.00,16.77,64.00,100.00,0.00,397
40.00,30.00,9.00,100.00,0.00,397
40.00,30.00,6.00,100.00,0.00,397
38.00,30.00,18.00,98.99,1.01,397
40.00,30.00,15.00,100.00,0.00,397
40.00,30.00,12.00,100.00,0.00,397
36.00,30.00,12.00,100.00,0.00,397
34.00,30.00,6.00,100.00,0.00,397
38.00,30.00,6.00,100.00,0.00,397
34.00,30.00,15.00,99.24,0.76,397
40.00,30.00,18.00,99.75,0.25,397
34.00,30.00,9.00,100.00,0.00,397
32.00,30.00,15.00,100.00,0.00,397
32.00,30.00,18.00,98.74,1.26,397
30.00,30.00,6.00,100.00,0.00,397
38.00,30.00,15.00,99.50,0.50,397
30.00,30.00,12.00,100.00,0.00,397
30.00,30.00,9.00,100.00,0.00,397
30.00,30.00,15.00,99.75,0.25,397
30.00,30.00,18.00,99.75,0.25,397
30.00,16.77,64.00,100.00,0.00,397
32.00,4.07,262144.00,30.73,69.27,397
32.00,7.92,512.00,38.79,61.21,397
24.00,16.77,64.00,100.00,0.00,396
38.00,7.92,512.00,36.78,63.22,397
28.00,16.77,64.00,100.00,0.00,396
28.00,30.00,6.00,100.00,0.00,397
38.00,4.64,32768.00,30.73,69.27,397
40.00,5.65,4096.00,35.52,64.48,397
28.00,30.00,12.00,100.00,0.00,397
36.00,4.07,262144.00,35.01,64.99,397
30.00,7.92,512.00,39.29,60.71,397
28.00,4.64,32768.00,25.19,74.81,397
34.00,5.65,4096.00,35.26,64.74,397
34.00,4.07,262144.00,28.97,71.03,397
36.00,4.64,32768.00,32.75,67.25,397
28.00,30.00,15.00,99.75,0.25,396
32.00,5.65,4096.00,36.36,63.64,396
38.00,4.07,262144.00,32.75,67.25,397
26.00,30.00,6.00,100.00,0.00,396
22.00,16.77,64.00,100.00,0.00,396
26.00,30.00,18.00,100.00,0.00,397
36.00,5.65,4096.00,33.75,66.25,397
28.00,30.00,9.00,100.00,0.00,397
32.00,4.64,32768.00,32.24,67.76,397
30.00,5.65,4096.00,33.00,67.00,397
34.00,7.92,512.00,39.14,60.86,396
24.00,30.00,12.00,100.00,0.00,396
40.00,4.64,32768.00,29.04,70.96,396
26.00,30.00,15.00,100.00,0.00,396
26.00,16.77,64.00,100.00,0.00,397
38.00,5.65,4096.00,31.99,68.01,397
40.00,4.07,262144.00,33.00,67.00,397
36.00,7.92,512.00,38.54,61.46,397
40.00,7.92,512.00,37.53,62.47,397
26.00,30.00,9.00,100.00,0.00,396
28.00,30.00,18.00,99.50,0.50,397
24.00,7.92,512.00,39.04,60.96,397
26.00,30.00,12.00,100.00,0.00,397
20.00,4.64,32768.00,31.31,68.69,396
20.00,30.00,6.00,100.00,0.00,395
24.00,30.00,6.00,100.00,0.00,396
24.00,4.07,262144.00,26.70,73.30,397
34.00,4.64,32768.00,30.98,69.02,397
24.00,30.00,18.00,99.49,0.51,396
22.00,30.00,12.00,100.00,0.00,395
24.00,30.00,9.00,100.00,0.00,396
20.00,4.07,262144.00,32.66,67.34,395
20.00,30.00,15.00,100.00,0.00,396
22.00,5.65,4096.00,32.32,67.68,396
22.00,4.07,262144.00,29.19,70.81,394
22.00,7.92,512.00,36.96,63.04,395
20.00,30.00,12.00,100.00,0.00,395
22.00,30.00,6.00,100.00,0.00,396
22.00,30.00,15.00,100.00,0.00,396
24.00,5.65,4096.00,35.77,64.23,397
20.00,5.65,4096.00,29.55,70.45,396
20.00,30.00,18.00,98.99,1.01,395
20.00,30.00,9.00,100.00,0.00,396
20.00,16.77,64.00,100.00,0.00,396
30.00,4.64,32768.00,29.47,70.53,397
26.00,5.65,4096.00,31.90,68.10,395
24.00,4.64,32768.00,30.23,69.77,397
28.00,7.92,512.00,37.63,62.37,396
22.00,30.00,18.00,99.75,0.25,395
24.00,30.00,15.00,100.00,0.00,397
28.00,5.65,4096.00,32.32,67.68,393
28.00,4.07,262144.00,27.96,72.04,397
30.00,4.07,262144.00,27.71,72.29,397
20.00,7.92,512.00,34.94,65.06,395
22.00,4.64,32768.00,28.21,71.79,397
26.00,7.92,512.00,39.90,60.10,396
26.00,4.07,262144.00,24.69,75.31,397
22.00,30.00,9.00,100.00,0.00,396
26.00,4.64,32768.00,32.06,67.94,393
