Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RFDynamic_njobs500_mode0_L2_norm_flow_time,RFDynamic_njobs500_mode0_maximum_flow_time,RFDynamic_njobs500_mode1_L2_norm_flow_time,RFDynamic_njobs500_mode1_maximum_flow_time,RFDynamic_njobs500_mode2_L2_norm_flow_time,RFDynamic_njobs500_mode2_maximum_flow_time,RFDynamic_njobs500_mode4_L2_norm_flow_time,RFDynamic_njobs500_mode4_maximum_flow_time,RFDynamic_njobs500_mode8_L2_norm_flow_time,RFDynamic_njobs500_mode8_maximum_flow_time,RFDynamic_njobs500_mode16_L2_norm_flow_time,RFDynamic_njobs500_mode16_maximum_flow_time
28,30.000000,12.000000,1726356.461473,29079.000000,1726356.461473,29079.000000,1726356.461473,29079.000000,1726356.461473,29079.000000,1726356.461473,29079.000000,1726356.461473,29079.000000
28,4.073000,262144.000000,54483.041591,26690.000000,54490.171196,26690.000000,54483.119890,26690.000000,54482.416466,26690.000000,54482.624799,26690.000000,54487.661548,26690.000000
28,30.000000,6.000000,1495144.916349,25701.000000,1495144.916349,25701.000000,1495144.916349,25701.000000,1495144.916349,25701.000000,1495144.916349,25701.000000,1495144.916349,25701.000000
28,30.000000,9.000000,1579035.244446,29072.000000,1579035.244446,29072.000000,1579035.244446,29072.000000,1579035.244446,29072.000000,1579035.244446,29072.000000,1579035.244446,29072.000000
28,5.649000,4096.000000,165602.386088,44395.000000,162712.564143,44395.000000,162662.749971,44395.000000,162591.391248,44395.000000,163213.173405,44395.000000,162705.362545,44395.000000
28,16.772000,64.000000,1696978.364956,29385.000000,1696978.364956,29385.000000,1696978.364956,29385.000000,1696978.364956,29385.000000,1696978.364956,29385.000000,1696978.364956,29385.000000
28,4.639000,32768.000000,68734.547216,35981.000000,68707.642821,35981.000000,68753.035068,35981.000000,68741.021130,35981.000000,68738.843524,35981.000000,68751.191997,35981.000000
28,30.000000,18.000000,1582450.190104,26509.000000,1582450.190104,26509.000000,1582450.190104,26509.000000,1582450.190104,26509.000000,1582450.190104,26509.000000,1582450.190104,26509.000000
28,30.000000,15.000000,1712812.623815,30997.000000,1712812.623815,30997.000000,1712812.623815,30997.000000,1712812.623815,30997.000000,1712812.623815,30997.000000,1712812.623815,30997.000000
28,7.918000,512.000000,381562.102441,37751.000000,381562.205830,37748.000000,381664.269952,37750.000000,381533.861271,37750.000000,381564.333223,37750.000000,381563.267992,37750.000000
