Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RFDynamic_njobs500_mode0_L2_norm_flow_time,RFDynamic_njobs500_mode0_maximum_flow_time,RFDynamic_njobs500_mode1_L2_norm_flow_time,RFDynamic_njobs500_mode1_maximum_flow_time,RFDynamic_njobs500_mode2_L2_norm_flow_time,RFDynamic_njobs500_mode2_maximum_flow_time,RFDynamic_njobs500_mode4_L2_norm_flow_time,RFDynamic_njobs500_mode4_maximum_flow_time,RFDynamic_njobs500_mode8_L2_norm_flow_time,RFDynamic_njobs500_mode8_maximum_flow_time,RFDynamic_njobs500_mode16_L2_norm_flow_time,RFDynamic_njobs500_mode16_maximum_flow_time
22,16.772000,64.000000,4888000.379578,82461.000000,4888000.379578,82461.000000,4888000.379578,82461.000000,4888000.379578,82461.000000,4888000.379578,82461.000000,4888000.379578,82461.000000
22,30.000000,15.000000,4764935.724082,80725.000000,4764935.724082,80725.000000,4764935.724082,80725.000000,4764935.724082,80725.000000,4764935.724082,80725.000000,4764935.724082,80725.000000
22,4.073000,262144.000000,132512.603868,47916.000000,132535.398954,47912.000000,132501.205938,47897.000000,132515.392989,47913.000000,132573.749766,47916.000000,132547.705159,47894.000000
22,5.649000,4096.000000,552013.944501,83766.000000,539115.376876,83739.000000,538368.264408,83730.000000,538367.240440,83764.000000,539159.763419,83784.000000,538383.566793,83746.000000
22,30.000000,18.000000,5159780.455135,87491.000000,5159780.455135,87491.000000,5159780.455135,87491.000000,5159780.455135,87491.000000,5159780.455135,87491.000000,5159780.455135,87491.000000
22,30.000000,6.000000,5004625.586090,85478.000000,5004625.586090,85478.000000,5004625.586090,85478.000000,5004625.586090,85478.000000,5004625.586090,85478.000000,5004625.586090,85478.000000
22,4.639000,32768.000000,307775.936334,103573.000000,307726.044866,103450.000000,307746.134653,103639.000000,307665.458845,103581.000000,307747.297886,103497.000000,307749.336046,103574.000000
22,30.000000,12.000000,4790693.990306,83845.000000,4790693.990306,83845.000000,4790693.990306,83845.000000,4790693.990306,83845.000000,4790693.990306,83845.000000,4790693.990306,83845.000000
22,30.000000,9.000000,4766615.057358,82098.000000,4766615.057358,82098.000000,4766615.057358,82098.000000,4766615.057358,82098.000000,4766615.057358,82098.000000,4766615.057358,82098.000000
22,7.918000,512.000000,1069531.182169,82287.000000,1754961.793792,82286.000000,1069546.884931,82285.000000,1070505.816126,82286.000000,1069879.185836,82285.000000,1069535.704951,82288.000000
