Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RFDynamic_njobs500_mode0_L2_norm_flow_time,RFDynamic_njobs500_mode0_maximum_flow_time,RFDynamic_njobs500_mode1_L2_norm_flow_time,RFDynamic_njobs500_mode1_maximum_flow_time,RFDynamic_njobs500_mode2_L2_norm_flow_time,RFDynamic_njobs500_mode2_maximum_flow_time,RFDynamic_njobs500_mode4_L2_norm_flow_time,RFDynamic_njobs500_mode4_maximum_flow_time,RFDynamic_njobs500_mode8_L2_norm_flow_time,RFDynamic_njobs500_mode8_maximum_flow_time,RFDynamic_njobs500_mode16_L2_norm_flow_time,RFDynamic_njobs500_mode16_maximum_flow_time
32,4.073000,262144.000000,59099.980863,33312.000000,59133.307695,33312.000000,59107.345203,33312.000000,59068.279406,33312.000000,59052.693080,33312.000000,59071.597651,33312.000000
32,30.000000,15.000000,56899.556466,1618.000000,56899.556466,1618.000000,56899.556466,1618.000000,56899.556466,1618.000000,56899.556466,1618.000000,56899.556466,1618.000000
32,16.772000,64.000000,35582.812944,1025.000000,35582.812944,1025.000000,35582.812944,1025.000000,35582.812944,1025.000000,35582.812944,1025.000000,35582.812944,1025.000000
32,30.000000,12.000000,69289.410143,2785.000000,69289.410143,2785.000000,69289.410143,2785.000000,69289.410143,2785.000000,69289.410143,2785.000000,69289.410143,2785.000000
32,5.649000,4096.000000,82008.691015,25981.000000,81968.783698,25981.000000,81977.311142,25971.000000,81975.778099,25981.000000,81997.795165,25980.000000,82000.902038,25980.000000
32,30.000000,6.000000,42506.556247,1408.000000,42506.556247,1408.000000,42506.556247,1408.000000,42506.556247,1408.000000,42506.556247,1408.000000,42506.556247,1408.000000
32,7.918000,512.000000,71928.600487,14520.000000,72027.967415,14525.000000,72121.252367,14523.000000,71925.101967,14525.000000,71959.663270,14524.000000,72094.063181,14524.000000
32,30.000000,9.000000,50315.694043,1785.000000,50315.694043,1785.000000,50315.694043,1785.000000,50315.694043,1785.000000,50315.694043,1785.000000,50315.694043,1785.000000
32,4.639000,32768.000000,52664.565013,17612.000000,52683.482933,17621.000000,52645.913963,17576.000000,52679.013990,17607.000000,52671.660549,17622.000000,52675.492024,17618.000000
32,30.000000,18.000000,63765.310460,1620.000000,63765.310460,1620.000000,63765.310460,1620.000000,63765.310460,1620.000000,63765.310460,1620.000000,63765.310460,1620.000000
