Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RFDynamic_njobs500_mode0_L2_norm_flow_time,RFDynamic_njobs500_mode0_maximum_flow_time,RFDynamic_njobs500_mode1_L2_norm_flow_time,RFDynamic_njobs500_mode1_maximum_flow_time,RFDynamic_njobs500_mode2_L2_norm_flow_time,RFDynamic_njobs500_mode2_maximum_flow_time,RFDynamic_njobs500_mode4_L2_norm_flow_time,RFDynamic_njobs500_mode4_maximum_flow_time,RFDynamic_njobs500_mode8_L2_norm_flow_time,RFDynamic_njobs500_mode8_maximum_flow_time,RFDynamic_njobs500_mode16_L2_norm_flow_time,RFDynamic_njobs500_mode16_maximum_flow_time
24,4.639000,32768.000000,187982.453067,57390.000000,187882.801701,57390.000000,188022.724089,57390.000000,187986.299948,57390.000000,188047.791521,57390.000000,188019.379044,57390.000000
24,4.073000,262144.000000,59079.410060,19805.000000,59038.576160,19786.000000,58906.244864,19795.000000,58939.565718,19804.000000,59057.920900,19789.000000,58884.171481,19805.000000
24,7.918000,512.000000,891913.536221,71018.000000,891996.515307,71024.000000,891949.236057,71023.000000,891891.646983,71022.000000,891959.618575,71021.000000,891955.960763,71020.000000
24,30.000000,15.000000,3833950.875845,65907.000000,3833950.875845,65907.000000,3833950.875845,65907.000000,3833950.875845,65907.000000,3833950.875845,65907.000000,3833950.875845,65907.000000
24,30.000000,9.000000,4017292.353176,68421.000000,4017292.353176,68421.000000,4017292.353176,68421.000000,4017292.353176,68421.000000,4017292.353176,68421.000000,4017292.353176,68421.000000
24,30.000000,12.000000,3894037.541706,66994.000000,3894037.541706,66994.000000,3894037.541706,66994.000000,3894037.541706,66994.000000,3894037.541706,66994.000000,3894037.541706,66994.000000
24,30.000000,6.000000,4008089.715830,70045.000000,4008089.715830,70045.000000,4008089.715830,70045.000000,4008089.715830,70045.000000,4008089.715830,70045.000000,4008089.715830,70045.000000
24,30.000000,18.000000,3974029.526150,71534.000000,3974029.526150,71534.000000,3974029.526150,71534.000000,3974029.526150,71534.000000,3974029.526150,71534.000000,3974029.526150,71534.000000
24,16.772000,64.000000,4000635.339252,68682.000000,4000635.339252,68682.000000,4000635.339252,68682.000000,4000635.339252,68682.000000,4000635.339252,68682.000000,4000635.339252,68682.000000
24,5.649000,4096.000000,330689.793468,62546.000000,330570.612576,62546.000000,330602.408554,62546.000000,330653.933937,62546.000000,331730.901515,62531.000000,331035.086621,62534.000000
