Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RFDynamic_njobs500_mode0_L2_norm_flow_time,RFDynamic_njobs500_mode0_maximum_flow_time,RFDynamic_njobs500_mode1_L2_norm_flow_time,RFDynamic_njobs500_mode1_maximum_flow_time,RFDynamic_njobs500_mode2_L2_norm_flow_time,RFDynamic_njobs500_mode2_maximum_flow_time,RFDynamic_njobs500_mode4_L2_norm_flow_time,RFDynamic_njobs500_mode4_maximum_flow_time,RFDynamic_njobs500_mode8_L2_norm_flow_time,RFDynamic_njobs500_mode8_maximum_flow_time,RFDynamic_njobs500_mode16_L2_norm_flow_time,RFDynamic_njobs500_mode16_maximum_flow_time
38,16.772000,64.000000,12583.760408,559.000000,12583.760408,559.000000,12583.760408,559.000000,12583.760408,559.000000,12583.760408,559.000000,12583.760408,559.000000
38,30.000000,12.000000,11879.979040,517.000000,11879.979040,517.000000,11879.979040,517.000000,11879.979040,517.000000,11879.979040,517.000000,11879.979040,517.000000
38,30.000000,9.000000,12032.040226,584.000000,12032.040226,584.000000,12032.040226,584.000000,12032.040226,584.000000,12032.040226,584.000000,12032.040226,584.000000
38,4.639000,32768.000000,54267.555298,28445.000000,54283.564409,28445.000000,54292.628524,28445.000000,54288.659423,28445.000000,54277.073079,28445.000000,54273.805496,28445.000000
38,30.000000,18.000000,13198.679101,510.000000,13198.679101,510.000000,13198.679101,510.000000,13198.679101,510.000000,13198.679101,510.000000,13198.679101,510.000000
38,30.000000,6.000000,13281.307842,548.000000,13281.307842,548.000000,13281.307842,548.000000,13281.307842,548.000000,13281.307842,548.000000,13281.307842,548.000000
38,5.649000,4096.000000,41891.822328,14609.000000,41913.246975,14616.000000,41907.562921,14619.000000,41897.046769,14620.000000,41897.834228,14617.000000,41904.455873,14619.000000
38,30.000000,15.000000,13623.160720,545.000000,13623.160720,545.000000,13623.160720,545.000000,13623.160720,545.000000,13623.160720,545.000000,13623.160720,545.000000
38,4.073000,262144.000000,35787.531614,15702.000000,35878.462495,15702.000000,35863.897906,15702.000000,35794.116681,15702.000000,35876.797307,15702.000000,35878.653054,15702.000000
38,7.918000,512.000000,34523.549311,7936.000000,34510.234859,7936.000000,33679.281153,5437.000000,33662.195799,5437.000000,34521.940415,7936.000000,34517.638781,7936.000000
