Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RFDynamic_njobs500_mode0_L2_norm_flow_time,RFDynamic_njobs500_mode0_maximum_flow_time,RFDynamic_njobs500_mode1_L2_norm_flow_time,RFDynamic_njobs500_mode1_maximum_flow_time,RFDynamic_njobs500_mode2_L2_norm_flow_time,RFDynamic_njobs500_mode2_maximum_flow_time,RFDynamic_njobs500_mode4_L2_norm_flow_time,RFDynamic_njobs500_mode4_maximum_flow_time,RFDynamic_njobs500_mode8_L2_norm_flow_time,RFDynamic_njobs500_mode8_maximum_flow_time,RFDynamic_njobs500_mode16_L2_norm_flow_time,RFDynamic_njobs500_mode16_maximum_flow_time
22,30.000000,6.000000,5116245.399608,88519.000000,5116245.399608,88519.000000,5116245.399608,88519.000000,5116245.399608,88519.000000,5116245.399608,88519.000000,5116245.399608,88519.000000
22,5.649000,4096.000000,585191.671539,107263.000000,588312.339780,107256.000000,585162.124646,107270.000000,585227.182144,107273.000000,585795.022669,107267.000000,585166.696823,107274.000000
22,4.639000,32768.000000,267741.341451,90007.000000,267788.709964,89944.000000,267725.305599,89955.000000,267712.593738,89967.000000,267754.542311,90085.000000,267671.975515,89823.000000
22,30.000000,18.000000,4751279.858374,82478.000000,4751279.858374,82478.000000,4751279.858374,82478.000000,4751279.858374,82478.000000,4751279.858374,82478.000000,4751279.858374,82478.000000
22,4.073000,262144.000000,124883.738721,54427.000000,124673.353973,54106.000000,124838.122955,54285.000000,124768.183741,54255.000000,124853.253342,54300.000000,124844.347641,54196.000000
22,16.772000,64.000000,5011852.900088,84792.000000,5011852.900088,84792.000000,5011852.900088,84792.000000,5011852.900088,84792.000000,5011852.900088,84792.000000,5011852.900088,84792.000000
22,7.918000,512.000000,1219488.314437,87525.000000,1219487.702681,87525.000000,1219521.095993,87525.000000,1219506.800536,87524.000000,1219497.366365,87521.000000,1219483.476601,87525.000000
22,30.000000,15.000000,5075579.070236,86319.000000,5075579.070236,86319.000000,5075579.070236,86319.000000,5075579.070236,86319.000000,5075579.070236,86319.000000,5075579.070236,86319.000000
22,30.000000,12.000000,4990316.537614,85885.000000,4990316.537614,85885.000000,4990316.537614,85885.000000,4990316.537614,85885.000000,4990316.537614,85885.000000,4990316.537614,85885.000000
22,30.000000,9.000000,5078696.190747,87782.000000,5078696.190747,87782.000000,5078696.190747,87782.000000,5078696.190747,87782.000000,5078696.190747,87782.000000,5078696.190747,87782.000000
