arrival_rate,bp_parameter,c,RMLF_L2_Norm/FCFS_L2_Norm,RDYNAMIC_L2_Norm/FCFS_L2_Norm,RDYNAMIC_L2_Norm/SETF_L2_Norm,RDYNAMIC_L2_Norm/RR_L2_Norm,RDYNAMIC_L2_Norm/RMLF_L2_Norm
20,"{'L': 16.772, 'H': 64}",8192,2.112396951700227,1.0686002373800279,0.45863311516506555,0.34516653552524995,0.505870942731636
20,"{'L': 7.918, 'H': 512}",8192,1.123894735874157,1.113550391967,0.9121395171896947,0.2614804495817857,0.9907959850891986
20,"{'L': 5.649, 'H': 4096}",8192,0.37678413137810807,0.4744368863330549,1.165436612275947,0.15667600145770716,1.2591742773183592
20,"{'L': 4.639, 'H': 32768}",8192,0.3522571972446591,0.428068371276418,1.173619867128022,0.08079602299647723,1.215215401203299
20,"{'L': 4.073, 'H': 262144}",8192,0.18447097275980467,0.325538191911361,1.5696416443896597,0.08923229701379976,1.7647122853048358
22,"{'L': 16.772, 'H': 64}",8192,2.429312601005382,1.002570201490069,0.3733219196758313,0.25673136016610165,0.41269707368049335
22,"{'L': 7.918, 'H': 512}",8192,1.0655953487316987,0.9957850426955662,0.8402751850856643,0.2018018936880874,0.9344870394571236
22,"{'L': 5.649, 'H': 4096}",8192,0.36610839466153783,0.4266955930000711,1.0834604985346747,0.12623306123787323,1.1654897817749994
22,"{'L': 4.639, 'H': 32768}",8192,0.19981339019923744,0.36327842383781356,1.6350481728823185,0.08957663620075243,1.8180884848386902
22,"{'L': 4.073, 'H': 262144}",8192,0.10704953417204065,0.2242868794102909,1.2569896224565378,0.07789664184932991,2.0951691303003397
24,"{'L': 16.772, 'H': 64}",8192,2.9818596840776364,1.1355597936824167,0.35763354817381426,0.22111024006102628,0.38082267913074974
24,"{'L': 7.918, 'H': 512}",8192,1.284403748295633,1.0254821904858185,0.7296414475264972,0.11120872838561212,0.7984110851798774
24,"{'L': 5.649, 'H': 4096}",8192,0.6181305472637094,0.6690684182212546,1.1107247460097092,0.07210720359861118,1.082406331774142
24,"{'L': 4.639, 'H': 32768}",8192,0.27194264422106457,0.42285433073444795,1.545091601164763,0.03574188378550839,1.5549393952009454
24,"{'L': 4.073, 'H': 262144}",8192,0.19315313139027201,0.45635734832405345,2.3564811635284855,0.03723648708326982,2.3626712393389524
26,"{'L': 16.772, 'H': 64}",8192,3.62247095674603,1.0706378272651431,0.2498625880492265,0.11927499108553817,0.2955545648395947
26,"{'L': 7.918, 'H': 512}",8192,1.3230834335127453,1.0416142195366265,0.7336772121395682,0.08636093424329742,0.7872626874113096
26,"{'L': 5.649, 'H': 4096}",8192,0.5963266216965968,0.6469515621121001,1.0442594047288836,0.013675300362449041,1.084894650974111
26,"{'L': 4.639, 'H': 32768}",8192,0.2804105345026518,0.3424800845756429,1.068378100238846,0.016471059246679215,1.2213524188136524
26,"{'L': 4.073, 'H': 262144}",8192,0.029188789448255564,0.07765109243025022,1.8881559760409858,0.03467837870623259,2.660305339757451
28,"{'L': 16.772, 'H': 64}",8192,4.545455883145261,1.3010670196820435,0.16237817531116083,0.050442846942968564,0.28623466009349113
28,"{'L': 7.918, 'H': 512}",8192,2.0176396270015986,1.0878596709939625,0.43779620010092446,0.017417222108321164,0.5391744176885661
28,"{'L': 5.649, 'H': 4096}",8192,0.749020729381762,0.5728065672518612,0.7206823547224663,0.029956873985940467,0.764740607011842
28,"{'L': 4.639, 'H': 32768}",8192,0.19983824284890156,0.3174290191472645,1.5996155721170813,0.017503160342957062,1.5884297951282218
28,"{'L': 4.073, 'H': 262144}",8192,0.0737986594338906,0.0986096871041538,1.2789344475430295,0.019813226360675673,1.3361988938632292
30,"{'L': 16.772, 'H': 64}",8192,6.217414112169856,1.395071216770031,0.1443423407430705,0.009789905361824919,0.2243812606979714
30,"{'L': 7.918, 'H': 512}",8192,1.57659982110196,1.0709843273380466,0.6055404804820588,0.004517130817393914,0.679300043678481
30,"{'L': 5.649, 'H': 4096}",8192,0.6702158679940152,0.7955534794741068,1.164909733727089,0.011854737846134158,1.187010808704414
30,"{'L': 4.639, 'H': 32768}",8192,0.13969630699287397,0.25593309162903644,1.856761801793494,0.010456944046680378,1.8320676984116109
30,"{'L': 4.073, 'H': 262144}",8192,0.1014964552205702,0.1830856275529734,1.7964664521017353,0.008349979894248932,1.8038622842058387
32,"{'L': 16.772, 'H': 64}",8192,3.6005090761865617,1.3158532118733628,0.25139041514515253,0.002835436250764566,0.36546310091989376
32,"{'L': 7.918, 'H': 512}",8192,1.1128887139766774,1.0614769852645076,0.8606334999916593,0.002347958709957837,0.9538033515242862
32,"{'L': 5.649, 'H': 4096}",8192,0.473250673003203,0.47241070412079267,0.9603702808859219,0.007742649962321225,0.9982251078966672
32,"{'L': 4.639, 'H': 32768}",8192,0.2798235546660299,0.32353102346636453,1.1808383740663,0.0043835870415879045,1.156196531962792
32,"{'L': 4.073, 'H': 262144}",8192,0.09524183176100018,0.14222702991219366,1.4478972760453153,0.012762135061668777,1.493325225716974
34,"{'L': 16.772, 'H': 64}",8192,2.989562401952328,1.5123188659564337,0.38500958368147353,0.0014779782759686397,0.5058662983481518
34,"{'L': 7.918, 'H': 512}",8192,1.0601449799721188,1.0397507125161622,0.9260268201874943,0.002360155137354801,0.9807627561878443
34,"{'L': 5.649, 'H': 4096}",8192,0.45427348612360957,0.745667976873789,1.6293425567324493,0.005610036965083252,1.6414516797726777
34,"{'L': 4.639, 'H': 32768}",8192,0.16539463512289326,0.2896846594248503,1.655322988485997,0.006945384126168135,1.751475549431248
34,"{'L': 4.073, 'H': 262144}",8192,0.13311321911182575,0.20228987900695514,1.2773645323372649,0.009756637490326663,1.519682871143064
36,"{'L': 16.772, 'H': 64}",8192,2.366407307144418,1.1159977243767496,0.39152314953417083,0.0006669151301450991,0.4716000161964688
36,"{'L': 7.918, 'H': 512}",8192,1.044577987359799,1.0280419469046291,0.9402978659272284,0.0015615283639020539,0.9841696449137655
36,"{'L': 5.649, 'H': 4096}",8192,0.5398424344877175,0.6715442247781649,1.1370496521622782,0.0037463860121091726,1.2439633898276736
36,"{'L': 4.639, 'H': 32768}",8192,0.1284854609836421,0.23180719636062216,1.803667646753189,0.007442512807547733,1.8041511824449483
36,"{'L': 4.073, 'H': 262144}",8192,0.2510074992062225,0.4334202773884521,1.4775780121499433,0.0052661519722636,1.7267224236689565
38,"{'L': 16.772, 'H': 64}",8192,2.2997873030592753,1.1774268411079782,0.4190593079647,0.0005982937033972392,0.511972059129866
38,"{'L': 7.918, 'H': 512}",8192,1.0574937197440113,1.0087691303589812,0.9258238507500941,0.0012887960856244876,0.953924464537884
38,"{'L': 5.649, 'H': 4096}",8192,0.393249372834076,0.5939094715134715,1.4981978503296238,0.0030420392570845597,1.5102617131548741
