frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_maximum_flow_time,Dynamic_BAL_njobs100_mode2_maximum_flow_time,Dynamic_BAL_njobs100_mode3_maximum_flow_time,Dynamic_BAL_njobs100_mode4_maximum_flow_time,Dynamic_BAL_njobs100_mode5_maximum_flow_time,Dynamic_BAL_njobs100_mode6_maximum_flow_time,Dynamic_BAL_njobs100_mode7_maximum_flow_time
32768,52296225.955475,49724939.086839,49402500.943849,49275612.499778,42547493.851690,41571928.772780,43138815.816987,1758736.000000,1758736.000000,1758736.000000,1758736.000000,2082721.000000,2103641.000000,2082721.000000
4096,101273365.424466,58681883.165102,54450190.781447,53853875.377684,53492520.145049,53434283.275079,53434283.275079,1060651.000000,1826628.000000,2062059.000000,2062059.000000,2062059.000000,2062059.000000,2062059.000000
8,50186786.673599,49035439.831115,49035439.831115,49035439.831115,49035439.831115,49035439.831115,49035439.831115,2168202.000000,2168202.000000,2168202.000000,2168202.000000,2168202.000000,2168202.000000,2168202.000000
16,48888553.824417,48395142.916157,48381940.944306,48381940.944306,48381940.944306,48381940.944306,48381940.944306,2114578.000000,2114578.000000,2114578.000000,2114578.000000,2114578.000000,2114578.000000,2114578.000000
2048,67155918.339342,63601502.322323,60107038.622385,58982545.332925,58982545.332925,58982545.332925,58982545.332925,1966332.000000,1971259.000000,2145152.000000,2218789.000000,2218789.000000,2218789.000000,2218789.000000
2,50816928.443819,50249807.657372,50249807.657372,50249807.657372,50249807.657372,50249807.657372,50249807.657372,2055357.000000,2055357.000000,2055357.000000,2055357.000000,2055357.000000,2055357.000000,2055357.000000
32,51050386.940350,51041988.848022,50812950.684556,50812950.684556,50812950.684556,50812950.684556,50812950.684556,2148188.000000,2148188.000000,2148188.000000,2148188.000000,2148188.000000,2148188.000000,2148188.000000
4,94518282.322307,51064481.033846,51064481.033846,51064481.033846,51064481.033846,51064481.033846,51064481.033846,1164366.000000,1961645.000000,1961645.000000,1961645.000000,1961645.000000,1961645.000000,1961645.000000
64,54028319.626377,51241172.075677,51241172.075677,51241172.075677,51241172.075677,51241172.075677,51241172.075677,2086775.000000,2149565.000000,2149565.000000,2149565.000000,2149565.000000,2149565.000000,2149565.000000
512,60647801.212567,51578372.594370,51398954.793694,51398954.793694,51398954.793694,51398954.793694,51398954.793694,2175270.000000,2250234.000000,2250234.000000,2250234.000000,2250234.000000,2250234.000000,2250234.000000
1024,65361559.035849,102055211.199986,54362626.549373,54362626.549373,54362626.549373,54362626.549373,54362626.549373,1995615.000000,1175299.000000,2196093.000000,2196093.000000,2196093.000000,2196093.000000,2196093.000000
256,57207344.663608,55291062.321277,55291062.321277,55291062.321277,55575829.048680,55291062.321277,55291062.321277,2249117.000000,2249117.000000,2249117.000000,2249117.000000,2249117.000000,2249117.000000,2249117.000000
8192,102207495.902254,79344211.016511,72489959.475626,55384152.037402,53656567.966386,53656567.966386,53656567.966386,2174505.000000,2270325.000000,2270325.000000,2270325.000000,2270325.000000,2270325.000000,2270325.000000
128,56111810.047242,54992094.767733,54992094.767733,54992094.767733,54992094.767733,54992094.767733,54992094.767733,2144267.000000,2144267.000000,2144267.000000,2144267.000000,2144267.000000,2144267.000000,2144267.000000
16384,60794342.814360,61138601.893558,59443451.661714,57263547.019101,55261403.903828,52551041.295603,52551041.295603,1768302.000000,1768302.000000,1768302.000000,1882482.000000,1882482.000000,1937513.000000,1937513.000000
65536,115345748.297002,114059086.670110,113656679.729303,112018908.828731,110283661.853935,101336319.598589,101336319.598589,2256778.000000,2256778.000000,2256778.000000,2293023.000000,2354272.000000,2431958.000000,2431958.000000
