frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode8_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_maximum_flow_time,Dynamic_BAL_njobs100_mode2_maximum_flow_time,Dynamic_BAL_njobs100_mode3_maximum_flow_time,Dynamic_BAL_njobs100_mode4_maximum_flow_time,Dynamic_BAL_njobs100_mode5_maximum_flow_time,Dynamic_BAL_njobs100_mode6_maximum_flow_time,Dynamic_BAL_njobs100_mode7_maximum_flow_time,Dynamic_BAL_njobs100_mode8_maximum_flow_time
65536,76790571.133086,76632626.712648,76670097.152597,76292146.863375,75878048.731033,62367913.696556,62367912.909705,76146260.514100,1515550.000000,1515550.000000,1515550.000000,1611938.000000,1611938.000000,1951845.000000,1951845.000000,1611938.000000
2,74121521.507640,71900928.821950,71900928.821950,71900928.821950,71900928.821950,71900928.821950,71900928.821950,71900928.821950,2134963.000000,2152738.000000,2152738.000000,2152738.000000,2152738.000000,2152738.000000,2152738.000000,2152738.000000
256,79666348.311166,76654997.058838,74993219.340118,74709302.035896,74709302.035896,74709302.035896,74709302.035896,74709302.035896,2090301.000000,2154987.000000,2213953.000000,2213953.000000,2213953.000000,2213953.000000,2213953.000000,2213953.000000
2048,84600482.610723,80354353.424458,75753866.005349,75084125.648525,74391658.750836,74316306.885049,74316306.885049,75192146.014179,1988538.000000,2103534.000000,2174422.000000,2174422.000000,2201720.000000,2201720.000000,2201720.000000,2174422.000000
4096,92304877.775620,90987177.418773,86841864.540051,80742124.915398,76600695.049791,75798653.994918,75798653.994918,75798653.994918,2066179.000000,2066179.000000,2149113.000000,2277435.000000,2371242.000000,2371242.000000,2371242.000000,2371242.000000
8,75026892.558374,74408604.492865,74408604.492865,74408604.492865,74408604.492865,74408604.492865,74408604.492865,74408604.492865,2205325.000000,2205325.000000,2205325.000000,2205325.000000,2205325.000000,2205325.000000,2205325.000000,2205325.000000
1024,82592966.095383,79630941.768074,77562580.412573,77817989.769556,77842889.772288,77400078.250351,77400078.250351,77400078.250351,1969583.000000,2116663.000000,2116663.000000,2116663.000000,2116663.000000,2116663.000000,2116663.000000,2116663.000000
4,78138318.269842,75186358.350814,75064268.804851,75064268.804851,75064268.804851,75064268.804851,75064268.804851,75064268.804851,2141041.000000,2248179.000000,2248179.000000,2248179.000000,2248179.000000,2248179.000000,2248179.000000,2248179.000000
8192,82370218.597775,81707863.646296,96184365.736715,93477629.194425,76638637.764007,75432331.445301,75431854.522740,78172517.608933,1811143.000000,1870947.000000,1116494.000000,1120067.000000,2186849.000000,2186849.000000,2186849.000000,2186849.000000
128,78619658.408457,76829120.766262,76551296.270988,76551296.270988,76551296.270988,76551296.270988,76551296.270988,76551296.270988,2047870.000000,2194271.000000,2194271.000000,2194271.000000,2194271.000000,2194271.000000,2194271.000000,2194271.000000
512,84112324.774051,81577356.550709,80169817.128130,80169817.128130,80169817.128130,80169817.128130,80169817.128130,80169817.128130,2053372.000000,2231321.000000,2327365.000000,2327365.000000,2327365.000000,2327365.000000,2327365.000000,2327365.000000
32,78584034.122183,77805343.540045,77285145.354726,77285145.354726,77285145.354726,77244246.965167,77285145.354726,77244246.965167,2175071.000000,2175071.000000,2175071.000000,2175071.000000,2175071.000000,2175071.000000,2175071.000000,2175071.000000
16,76987914.663014,75935578.741419,75824606.909293,75733760.583446,75733760.583446,75733760.583446,75733760.583446,75733760.583446,2235591.000000,2235591.000000,2235591.000000,2235591.000000,2235591.000000,2235591.000000,2235591.000000,2235591.000000
64,77957828.001877,76391690.680674,76063393.406522,76063393.406522,76063393.406522,76063393.406522,76063393.406522,76063393.406522,2290261.000000,2290261.000000,2290261.000000,2290261.000000,2290261.000000,2290261.000000,2290261.000000,2290261.000000
16384,94783344.870031,94247610.147722,93530651.452917,90431124.601048,89385926.989903,81672747.011544,81582575.232261,89892632.015114,2056253.000000,2056253.000000,2110105.000000,2110105.000000,2149448.000000,2344060.000000,2344060.000000,2149448.000000
32768,119617644.329977,135688090.096859,135689188.935603,134945795.977363,132735692.795527,96879343.096568,108117777.471956,132791762.825264,1985498.000000,1286774.000000,1286774.000000,1286774.000000,1286774.000000,2426921.000000,2333368.000000,1286774.000000
