frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_maximum_flow_time,Dynamic_BAL_njobs100_mode2_maximum_flow_time,Dynamic_BAL_njobs100_mode3_maximum_flow_time,Dynamic_BAL_njobs100_mode4_maximum_flow_time,Dynamic_BAL_njobs100_mode5_maximum_flow_time,Dynamic_BAL_njobs100_mode6_maximum_flow_time
4096,92813980.225186,90770255.617091,86453191.960335,81765999.253444,79402644.775785,78508984.938930,2096830.000000,2096830.000000,2107735.000000,2193991.000000,2234641.000000,2234641.000000
64,77923753.357266,76730646.592690,76157846.290183,76157846.290183,76157846.290183,76157846.290183,2181103.000000,2228497.000000,2228497.000000,2228497.000000,2228497.000000,2228497.000000
16,76074769.333660,75377178.637770,75377178.637770,75377178.637770,75377178.637770,75377178.637770,2249476.000000,2249476.000000,2249476.000000,2249476.000000,2249476.000000,2249476.000000
4,76811733.064217,75317379.602137,74715212.915346,74715212.915346,74715212.915346,74715212.915346,2270028.000000,2270028.000000,2270028.000000,2270028.000000,2270028.000000,2270028.000000
32768,78628884.215621,77960266.786885,77444014.567676,75097790.651219,73448572.336614,66346373.926886,1689034.000000,1719244.000000,1719244.000000,1855948.000000,1886963.000000,2112996.000000
512,83880853.737377,80319213.534104,79746163.294514,79746163.294514,79746163.294514,79746163.294514,2117519.000000,2229331.000000,2229331.000000,2229331.000000,2229331.000000,2229331.000000
8192,107829930.151690,106925532.180623,104604094.911697,85448067.345364,82133157.827333,78881412.401507,1172636.000000,1172636.000000,1172636.000000,2057235.000000,2142579.000000,2193244.000000
128,79207841.418028,77739869.772257,77258230.198535,77258230.198535,77258230.198535,77258230.198535,2128294.000000,2133154.000000,2133154.000000,2133154.000000,2133154.000000,2133154.000000
8,94279356.183143,76544565.097944,76035017.576052,76035017.576052,76035017.576052,76035017.576052,1172205.000000,2231220.000000,2231220.000000,2231220.000000,2231220.000000,2231220.000000
1024,79123907.077383,76765312.731639,74361257.962135,74368670.241933,74202621.474992,73942980.826616,2137609.000000,2137609.000000,2150471.000000,2150471.000000,2150471.000000,2150471.000000
2048,90277399.795799,86491320.530795,81321700.447956,80637558.524181,79813873.434177,79263182.977288,2028918.000000,2101023.000000,2211733.000000,2211733.000000,2211733.000000,2211733.000000
256,81283486.641357,80246889.059025,79964636.859114,79964636.859114,79977843.652145,79964636.859114,2263284.000000,2263284.000000,2263284.000000,2263284.000000,2263284.000000,2263284.000000
2,75966730.372371,74529647.365220,73736681.875406,73736681.875406,73736681.875406,73736681.875406,2324438.000000,2324438.000000,2324438.000000,2324438.000000,2324438.000000,2324438.000000
32,78938909.133818,77767648.038501,77452320.031474,77452320.031474,77452320.031474,77452320.031474,2103774.000000,2167928.000000,2228895.000000,2228895.000000,2228895.000000,2228895.000000
16384,114981830.023204,115019731.422435,113008350.291366,92617593.911961,89780896.358883,89585834.989988,1171976.000000,1171976.000000,1171976.000000,2100972.000000,2100972.000000,2100972.000000
65536,123685302.581071,123600904.509006,123325980.003832,123510351.906253,128074522.599426,121282074.735913,1929286.000000,1929286.000000,1929286.000000,1929286.000000,1216760.000000,2238297.000000
