frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,1350004.385765,118906.000000,68088.547914
4,5400477.093263,304385.000000,804.345697
8,5726951.378264,303498.000000,719.317732
16,6663212.319384,302146.000000,123667.490219
32,5307696.654558,298167.000000,183.444815
64,6920956.007713,305823.000000,383992.017123
128,7497190.907029,303777.000000,757530.382820
256,7082313.444336,303250.000000,453548.391227
512,7838720.014888,294662.000000,1628957.399798
1024,7232446.399883,297982.000000,130276.873512
2048,7386768.699251,300102.000000,952900.864304
4096,7729940.945221,306897.000000,1501435.931699
8192,7526963.436824,289989.000000,1226940.762713
16384,10555189.062977,304236.000000,7788883.898170
32768,11071650.326517,303166.000000,7508828.581824
65536,7121939.889682,301750.000000,4791223.538437
