frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,3772463.482260,282654.000000,29784.949337
4,3423325.264395,244670.000000,41703.386169
8,4292333.966909,255055.000000,9539.220304
16,4275273.509405,273092.000000,59190.980943
32,6638464.199678,291916.000000,59795.773563
64,6277651.389262,290708.000000,292773.507738
128,6090964.709223,286356.000000,352187.757551
256,5255067.726270,287253.000000,392390.848488
512,7686678.220765,290240.000000,776463.290836
1024,7690865.102790,304385.000000,1529310.714087
2048,7088684.614678,301792.000000,743931.965880
4096,8208440.021330,298649.000000,1129896.879914
8192,7631612.642990,265457.000000,2176232.811795
16384,7728333.124181,300077.000000,515315.779830
32768,11279955.312698,305708.000000,8351298.698381
65536,4026059.604392,140041.000000,3866294.954549
