frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,4399271.758990,249182.000000,0.000000
4,3938868.132823,249125.000000,0.000000
8,4118332.603572,290859.000000,0.000000
16,4752557.396650,295354.000000,0.000000
32,6288901.990879,304904.000000,0.000000
64,6421951.972299,306114.000000,0.000000
128,7096608.355666,301713.000000,0.000000
256,7652876.708142,304151.000000,0.000000
512,6286733.289507,291063.000000,0.000000
1024,7509613.577054,305075.000000,0.000000
2048,7793789.847086,303281.000000,0.000000
4096,3548052.884789,270398.000000,0.000000
8192,6208027.953534,305265.000000,0.000000
16384,4569806.303315,303785.000000,0.000000
32768,2153624.088078,101535.000000,0.000000
65536,6347147.025730,281013.000000,0.000000
