frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,4001795.535590,260713.000000,0.000000
4,4581936.748085,287980.000000,0.000000
8,5884516.288468,303440.000000,0.000000
16,5435660.631112,302912.000000,0.000000
32,6824248.919564,289239.000000,0.000000
64,7973890.956255,303586.000000,0.000000
128,6698040.699796,301048.000000,0.000000
256,8026438.146640,304041.000000,0.000000
512,6828219.297241,304080.000000,0.000000
1024,7416063.957573,283354.000000,0.000000
2048,7718049.452624,304842.000000,0.000000
4096,8415484.488294,297931.000000,0.000000
8192,5264430.395435,247826.000000,0.000000
16384,8185659.829372,273936.000000,0.000000
32768,10720384.219639,305364.000000,0.000000
65536,4944501.539481,187367.000000,0.000000
