frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,3691372.115056,289748.000000,81845.006653
4,5748436.527927,289541.000000,131118.383707
8,3445514.195100,208365.000000,1334.904491
16,6241450.424839,303014.000000,665.343520
32,6214108.792836,304655.000000,9238.854041
64,5863463.025548,298133.000000,84469.154589
128,6741042.191588,301282.000000,273368.746859
256,6055799.941813,278541.000000,73665.545963
512,8093906.262177,296580.000000,1213602.351767
1024,5889049.495453,256014.000000,257780.594442
2048,5579089.705802,301974.000000,1875088.501853
4096,5481250.139880,241446.000000,2246487.913580
8192,8507891.083439,286824.000000,3631148.028289
16384,5689980.565203,293105.000000,1924412.017421
32768,6670696.718648,210002.000000,6278084.634602
65536,11621498.475248,304822.000000,9053155.716141
