frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,862014.143095,114494.000000,23827.420591
4,3058088.323491,305790.000000,15902.226762
8,3159151.508504,298368.000000,58387.372719
16,4254712.127994,303253.000000,160350.811492
32,2989892.868745,299627.000000,18228.008092
64,4094080.688936,302055.000000,285284.770465
128,4846964.873137,305439.000000,352007.851790
256,4712675.001932,301936.000000,528116.698603
512,5564554.827345,293632.000000,518929.728257
1024,4806539.237326,298514.000000,287758.239196
2048,5443595.065223,299989.000000,1157041.206157
4096,5176581.649941,301892.000000,974579.072190
8192,5772566.197415,281472.000000,1650093.433002
16384,9890113.983034,288898.000000,5375869.887055
32768,11075495.371885,302198.000000,7652535.977997
65536,6136383.147919,231051.000000,4669463.968354
