frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2038755.283661,280670.000000,0.000000
4,2148265.298247,286207.000000,0.000000
8,791118.474661,100086.000000,0.000000
16,3584513.723233,306337.000000,0.000000
32,3050757.652911,298575.000000,0.000000
64,4101541.854604,263455.000000,0.000000
128,4012355.881934,294640.000000,0.000000
256,4646348.053532,288034.000000,0.000000
512,3997364.545338,289579.000000,0.000000
1024,4894142.098945,305686.000000,0.000000
2048,5273861.179035,299647.000000,0.000000
4096,6712608.123509,291000.000000,0.000000
8192,7227358.790889,266011.000000,0.000000
16384,4313506.394443,249668.000000,0.000000
32768,6401432.910590,179597.000000,0.000000
65536,6137980.263360,234701.000000,0.000000
