frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,3006479.786664,254692.000000,35996.107845
4,3915267.770221,304210.000000,26107.137357
8,3333962.854667,300120.000000,109990.642888
16,1989327.337636,294827.000000,61399.369476
32,5972149.530984,303469.000000,143453.874388
64,3306046.515659,297122.000000,141377.779131
128,3497522.356367,298794.000000,180360.202694
256,7117171.226353,303499.000000,874061.206192
512,7037458.919502,291352.000000,1091195.537444
1024,4509661.383121,290726.000000,774974.716883
2048,5077307.761074,298587.000000,535147.450729
4096,6663366.268499,277948.000000,1785838.511386
8192,7317187.401548,261865.000000,2018732.633434
16384,7402007.369741,292156.000000,1468660.855212
32768,10148741.114972,304703.000000,6746137.439163
65536,11811989.655702,259853.000000,9069364.318371
