frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2464246.023072,250238.000000,0.000000
4,2193016.929904,248745.000000,0.000000
8,2463317.058700,279393.000000,0.000000
16,2698254.218288,293192.000000,0.000000
32,3625730.462280,305263.000000,0.000000
64,3893619.472513,305416.000000,0.000000
128,4576042.222532,299819.000000,0.000000
256,5213867.914449,294581.000000,0.000000
512,4627982.326786,290329.000000,0.000000
1024,5389104.790056,304354.000000,0.000000
2048,5157713.455133,303699.000000,0.000000
4096,2212154.098381,265505.000000,0.000000
8192,4127892.043720,304884.000000,0.000000
16384,4145975.195107,240872.000000,0.000000
32768,2075517.763740,101112.000000,0.000000
65536,5196482.104547,275480.000000,0.000000
