frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2673183.166481,300586.000000,71118.798865
4,1555596.938247,201380.000000,29279.599041
8,3227467.572369,290003.000000,30420.203237
16,3674619.060943,301593.000000,40603.322709
32,4077000.317054,282809.000000,215467.405407
64,4083713.020103,292646.000000,107546.984081
128,5528224.194739,303395.000000,208798.426469
256,6090186.778714,290061.000000,733378.681622
512,3360300.168464,280683.000000,51872.820764
1024,5681646.623715,298984.000000,884537.441232
2048,3854010.606276,289114.000000,201712.727462
4096,6152245.505343,305583.000000,628390.377154
8192,5593666.491596,261394.000000,2261931.485207
16384,5165480.167488,302613.000000,1122546.081323
32768,10438241.317836,225023.000000,5620846.811688
65536,3011662.455408,176507.000000,0.000000
