frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,1789644.033787,203866.000000,0.000000
4,2824186.908642,302958.000000,0.000000
8,2535339.027533,279475.000000,0.000000
16,2263805.941102,240735.000000,0.000000
32,4117661.635078,283547.000000,0.000000
64,3565565.943583,297762.000000,0.000000
128,3717121.344880,304064.000000,0.000000
256,4076759.960690,304773.000000,0.000000
512,3238950.855583,293614.000000,0.000000
1024,5086915.085642,289556.000000,0.000000
2048,5232676.791213,304964.000000,0.000000
4096,900429.806502,73734.000000,0.000000
8192,5468214.200629,305963.000000,0.000000
16384,6015498.144570,292855.000000,0.000000
32768,3343721.311685,217706.000000,0.000000
65536,694244.552545,76100.000000,0.000000
