frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2474833.014701,240093.000000,71494.803832
4,3394745.896816,297906.000000,39502.019252
8,2737493.533282,299873.000000,135570.058590
16,3064625.766476,275234.000000,49544.426861
32,4343994.154184,292027.000000,131653.007205
64,5310157.109639,272361.000000,392280.654772
128,5722634.733725,283744.000000,464074.064628
256,4683002.148763,289252.000000,346021.751839
512,6007451.733162,302234.000000,598360.569382
1024,5203119.802951,287696.000000,389617.102508
2048,4276514.600117,272632.000000,1070142.995170
4096,4896769.533084,289001.000000,1043522.192260
8192,2877241.317500,241876.000000,716394.735579
16384,4662845.267516,233718.000000,1307943.794363
32768,2500553.317199,76259.000000,1017329.630846
65536,5480795.585385,199138.000000,4542070.414856
