frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,341803.092654,201591.000000,383.367969
4,277314.741330,143906.000000,3900.762618
8,191473.845264,108194.000000,3089.843847
16,444386.075604,218610.000000,1748.477909
32,349502.963550,171763.000000,74.101282
64,771062.297833,285922.000000,93.359520
128,676976.715134,240890.000000,323.532070
256,250865.494142,160037.000000,4761.391813
512,183147.922945,80161.000000,3026.153499
1024,440789.659540,179621.000000,19878.971779
2048,589981.449763,271532.000000,14358.847099
4096,889991.847596,296845.000000,132675.186859
8192,910938.508085,273573.000000,449658.604416
16384,768374.455255,252443.000000,81795.499088
32768,870674.236358,313955.000000,713598.425593
65536,1581733.020018,173975.000000,1164854.648598
