frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,289913.331834,151447.000000,0.000000
4,591630.983529,186787.000000,0.000000
8,479562.942198,255824.000000,0.000000
16,529438.382674,281986.000000,0.000000
32,619091.844036,261168.000000,0.000000
64,518948.934227,240843.000000,0.000000
128,364438.886236,114995.000000,0.000000
256,176888.674259,63643.000000,0.000000
512,439685.949327,179689.000000,0.000000
1024,703852.679449,260402.000000,0.000000
2048,299176.246228,97195.000000,0.000000
4096,439718.566098,101524.000000,0.000000
8192,758666.890623,229935.000000,0.000000
16384,1289314.814749,213987.000000,0.000000
32768,1938846.573397,269321.000000,0.000000
65536,1276342.700922,132583.000000,0.000000
