frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,287943.094036,128861.000000,42.320208
4,401349.771877,157975.000000,166.063241
8,351319.888362,151816.000000,74.040529
16,421800.008369,212357.000000,182.057683
32,516735.257546,290602.000000,495.371578
64,241914.511036,166138.000000,13862.640153
128,700176.776119,266941.000000,1157.704626
256,657402.080674,235753.000000,534.421182
512,209120.425435,86216.000000,7955.141482
1024,466835.807501,220995.000000,22102.222083
2048,514790.197150,185481.000000,151590.647159
4096,785884.447382,206773.000000,249983.424761
8192,1307583.384116,235405.000000,902776.734459
16384,847016.776799,263438.000000,419035.441879
32768,1056820.308982,249773.000000,452380.559544
65536,1167184.410083,118572.000000,715071.757331
