frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,91919.043816,52963.000000,0.000000
4,211755.733665,129294.000000,0.000000
8,113515.661386,54296.000000,0.000000
16,193648.560147,83272.000000,0.000000
32,192031.110461,77626.000000,0.000000
64,135445.181313,90869.000000,0.000000
128,759023.078014,280473.000000,0.000000
256,154634.374060,83611.000000,0.000000
512,254414.352807,100573.000000,0.000000
1024,348162.925074,190256.000000,0.000000
2048,625176.634784,370736.000000,0.000000
4096,348392.974042,165831.000000,0.000000
8192,246950.698997,100203.000000,0.000000
16384,384632.672523,113628.000000,0.000000
32768,401527.509977,110002.000000,0.000000
65536,397281.571362,59905.000000,0.000000
