frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,364983.536833,229175.000000,47.549974
4,687273.759447,262139.000000,381.808853
8,191412.731993,75822.000000,246.750887
16,569341.923309,271237.000000,329.953027
32,329408.186372,226049.000000,5220.699283
64,688319.918337,278651.000000,2666.026069
128,843292.169265,282269.000000,6143.607572
256,505749.228693,278992.000000,13885.830476
512,656925.186100,239017.000000,34609.626262
1024,981212.729565,314276.000000,7960.965394
2048,257213.283467,120271.000000,12504.812833
4096,584476.477309,223101.000000,104415.905709
8192,767910.629359,232427.000000,398626.012053
16384,1280963.870345,227333.000000,515484.723797
32768,1926896.215093,199816.000000,1755292.102162
65536,513510.469909,72928.000000,112849.799486
