arrival_rate,bp_L,bp_H,FCFS_percentage,SRPT_percentage,total_rounds
22.00,4.64,32768.00,1.00,99.00,200
38.00,30.00,6.00,98.50,1.50,200
38.00,30.00,15.00,75.00,25.00,200
40.00,30.00,15.00,73.00,27.00,200
38.00,7.92,512.00,2.00,98.00,200
38.00,4.64,32768.00,3.00,97.00,200
20.00,4.07,262144.00,2.00,98.00,200
38.00,30.00,9.00,94.50,5.50,200
22.00,4.07,262144.00,3.50,96.50,200
20.00,4.64,32768.00,1.00,99.00,200
22.00,7.92,512.00,3.00,97.00,200
32.00,5.65,4096.00,3.00,97.00,200
32.00,7.92,512.00,4.50,95.50,200
34.00,30.00,18.00,67.00,33.00,200
30.00,7.92,512.00,4.50,95.50,200
30.00,5.65,4096.00,2.00,98.00,200
26.00,5.65,4096.00,1.00,99.00,200
34.00,16.77,64.00,93.50,6.50,200
30.00,30.00,18.00,76.00,24.00,200
30.00,30.00,12.00,96.50,3.50,200
38.00,5.65,4096.00,2.50,97.50,200
28.00,4.07,262144.00,4.00,96.00,200
34.00,30.00,15.00,78.50,21.50,200
20.00,7.92,512.00,3.00,97.00,200
40.00,4.64,32768.00,2.00,98.00,200
40.00,30.00,18.00,58.50,41.50,200
40.00,30.00,9.00,93.00,7.00,200
28.00,5.65,4096.00,1.50,98.50,200
22.00,5.65,4096.00,1.00,99.00,200
30.00,16.77,64.00,96.00,4.00,200
40.00,5.65,4096.00,2.00,98.00,200
30.00,30.00,9.00,99.50,0.50,200
30.00,30.00,15.00,87.00,13.00,200
26.00,7.92,512.00,2.00,98.00,200
38.00,30.00,18.00,57.50,42.50,200
28.00,30.00,6.00,99.50,0.50,200
40.00,7.92,512.00,2.50,97.50,200
40.00,16.77,64.00,83.50,16.50,200
40.00,4.07,262144.00,6.50,93.50,200
38.00,4.07,262144.00,5.50,94.50,200
26.00,30.00,15.00,88.00,12.00,200
26.00,30.00,6.00,99.50,0.50,200
22.00,30.00,12.00,94.50,5.50,200
22.00,30.00,18.00,68.00,32.00,200
24.00,30.00,15.00,89.00,11.00,200
22.00,30.00,6.00,99.50,0.50,200
22.00,30.00,15.00,82.00,18.00,200
22.00,16.77,64.00,90.00,10.00,200
24.00,30.00,6.00,99.50,0.50,200
20.00,16.77,64.00,83.50,16.50,200
34.00,5.65,4096.00,4.00,96.00,200
34.00,30.00,12.00,93.00,7.00,200
34.00,4.07,262144.00,5.00,95.00,200
36.00,30.00,12.00,89.00,11.00,200
20.00,30.00,15.00,72.00,28.00,200
36.00,30.00,15.00,74.50,25.50,200
36.00,16.77,64.00,87.50,12.50,200
34.00,7.92,512.00,2.50,97.50,200
34.00,30.00,9.00,96.50,3.50,200
36.00,30.00,18.00,65.50,34.50,200
32.00,30.00,6.00,99.50,0.50,200
32.00,16.77,64.00,94.00,6.00,200
40.00,30.00,6.00,99.00,1.00,200
38.00,16.77,64.00,87.00,13.00,200
34.00,30.00,6.00,98.50,1.50,200
36.00,7.92,512.00,3.00,97.00,200
32.00,30.00,9.00,99.00,1.00,200
32.00,30.00,18.00,67.00,33.00,200
36.00,30.00,6.00,99.00,1.00,200
36.00,30.00,9.00,96.50,3.50,200
26.00,4.07,262144.00,3.00,97.00,200
36.00,5.65,4096.00,2.00,98.00,200
40.00,30.00,12.00,83.00,17.00,200
38.00,30.00,12.00,85.00,15.00,200
24.00,4.07,262144.00,2.50,97.50,200
32.00,30.00,15.00,83.00,17.00,200
30.00,30.00,6.00,99.50,0.50,200
30.00,4.07,262144.00,3.00,97.00,200
20.00,30.00,6.00,99.50,0.50,200
24.00,4.64,32768.00,3.00,97.00,200
36.00,4.64,32768.00,4.00,96.00,200
32.00,30.00,12.00,89.50,10.50,200
28.00,7.92,512.00,2.00,98.00,200
36.00,4.07,262144.00,5.00,95.00,200
28.00,30.00,15.00,89.00,11.00,200
34.00,4.64,32768.00,4.50,95.50,200
32.00,4.64,32768.00,6.00,94.00,200
20.00,5.65,4096.00,1.00,99.00,200
24.00,7.92,512.00,1.50,98.50,200
28.00,4.64,32768.00,5.50,94.50,200
24.00,5.65,4096.00,2.00,98.00,200
28.00,16.77,64.00,96.50,3.50,200
30.00,4.64,32768.00,1.50,98.50,200
26.00,4.64,32768.00,2.00,98.00,200
28.00,30.00,18.00,74.00,26.00,200
28.00,30.00,9.00,97.50,2.50,200
20.00,30.00,18.00,46.50,53.50,200
20.00,30.00,12.00,91.50,8.50,200
28.00,30.00,12.00,97.50,2.50,200
22.00,30.00,9.00,99.00,1.00,200
26.00,16.77,64.00,96.00,4.00,200
26.00,30.00,18.00,72.00,28.00,200
24.00,30.00,18.00,75.50,24.50,200
20.00,30.00,9.00,99.50,0.50,200
26.00,30.00,9.00,99.00,1.00,200
26.00,30.00,12.00,96.50,3.50,200
24.00,16.77,64.00,94.00,6.00,200
32.00,4.07,262144.00,2.50,97.50,200
24.00,30.00,9.00,99.50,0.50,200
24.00,30.00,12.00,99.00,1.00,200
38.00,30.00,9.00,95.50,4.50,200
32.00,30.00,15.00,84.00,16.00,200
36.00,30.00,12.00,90.00,10.00,200
30.00,30.00,12.00,97.00,3.00,200
34.00,30.00,9.00,96.50,3.50,200
34.00,30.00,6.00,97.50,2.50,200
30.00,30.00,6.00,99.50,0.50,200
30.00,30.00,18.00,75.00,25.00,200
34.00,30.00,15.00,83.50,16.50,200
36.00,30.00,15.00,73.00,27.00,200
40.00,16.77,64.00,85.00,15.00,200
34.00,16.77,64.00,88.00,12.00,200
32.00,30.00,6.00,99.50,0.50,200
38.00,5.65,4096.00,1.50,98.50,200
34.00,4.07,262144.00,2.50,97.50,200
34.00,30.00,12.00,93.50,6.50,200
38.00,16.77,64.00,83.00,17.00,200
24.00,7.92,512.00,1.50,98.50,200
38.00,30.00,18.00,59.00,41.00,200
36.00,30.00,18.00,63.00,37.00,200
38.00,4.64,32768.00,2.50,97.50,200
36.00,30.00,6.00,98.00,2.00,200
32.00,4.64,32768.00,3.00,97.00,200
36.00,30.00,9.00,96.00,4.00,200
30.00,16.77,64.00,93.50,6.50,200
40.00,30.00,9.00,95.00,5.00,200
38.00,30.00,12.00,84.00,16.00,200
36.00,7.92,512.00,4.50,95.50,200
40.00,30.00,15.00,67.50,32.50,200
22.00,4.07,262144.00,3.50,96.50,200
32.00,7.92,512.00,2.00,98.00,200
32.00,16.77,64.00,90.00,10.00,200
32.00,30.00,9.00,98.00,2.00,200
24.00,4.64,32768.00,1.50,98.50,200
38.00,7.92,512.00,4.00,96.00,200
34.00,4.64,32768.00,3.00,97.00,200
28.00,7.92,512.00,4.50,95.50,200
36.00,5.65,4096.00,2.50,97.50,200
34.00,30.00,18.00,62.50,37.50,200
38.00,30.00,15.00,74.00,26.00,200
38.00,30.00,6.00,98.00,2.00,200
36.00,16.77,64.00,87.50,12.50,200
38.00,4.07,262144.00,3.50,96.50,200
36.00,4.64,32768.00,1.50,98.50,200
20.00,4.64,32768.00,1.50,98.50,200
26.00,5.65,4096.00,5.00,95.00,200
28.00,4.64,32768.00,0.50,99.50,200
40.00,4.64,32768.00,3.50,96.50,200
34.00,5.65,4096.00,1.50,98.50,200
36.00,4.07,262144.00,4.00,96.00,200
20.00,30.00,6.00,99.50,0.50,200
40.00,4.07,262144.00,3.50,96.50,200
22.00,16.77,64.00,90.00,10.00,200
26.00,30.00,6.00,99.50,0.50,200
26.00,4.64,32768.00,1.50,98.50,200
24.00,30.00,6.00,99.50,0.50,200
26.00,30.00,15.00,92.50,7.50,200
20.00,5.65,4096.00,3.00,97.00,200
28.00,5.65,4096.00,1.00,99.00,200
22.00,7.92,512.00,2.50,97.50,200
32.00,30.00,18.00,67.00,33.00,200
32.00,5.65,4096.00,4.00,96.00,200
26.00,4.07,262144.00,1.50,98.50,200
22.00,5.65,4096.00,2.00,98.00,200
30.00,30.00,9.00,98.50,1.50,200
32.00,30.00,12.00,92.00,8.00,200
28.00,4.07,262144.00,4.00,96.00,200
22.00,30.00,12.00,96.00,4.00,200
24.00,30.00,12.00,97.00,3.00,200
28.00,30.00,9.00,99.00,1.00,200
40.00,5.65,4096.00,1.50,98.50,200
26.00,30.00,9.00,99.50,0.50,200
20.00,7.92,512.00,5.50,94.50,200
30.00,4.07,262144.00,3.50,96.50,200
30.00,7.92,512.00,5.00,95.00,200
24.00,30.00,18.00,74.50,25.50,200
30.00,4.64,32768.00,2.00,98.00,200
40.00,7.92,512.00,4.50,95.50,200
40.00,30.00,6.00,97.50,2.50,200
28.00,30.00,18.00,80.50,19.50,200
30.00,5.65,4096.00,2.00,98.00,200
34.00,7.92,512.00,2.50,97.50,200
26.00,30.00,18.00,79.00,21.00,200
40.00,30.00,12.00,79.50,20.50,200
40.00,30.00,18.00,57.00,43.00,200
24.00,30.00,9.00,99.50,0.50,200
28.00,16.77,64.00,95.50,4.50,200
28.00,30.00,12.00,93.50,6.50,200
22.00,4.64,32768.00,0.00,100.00,200
26.00,7.92,512.00,3.00,97.00,200
28.00,30.00,15.00,89.00,11.00,200
24.00,4.07,262144.00,2.00,98.00,200
28.00,30.00,6.00,99.50,0.50,200
26.00,16.77,64.00,93.50,6.50,200
22.00,30.00,15.00,83.50,16.50,200
20.00,30.00,12.00,95.50,4.50,200
22.00,30.00,18.00,64.00,36.00,200
32.00,4.07,262144.00,4.50,95.50,200
20.00,30.00,18.00,47.00,53.00,200
22.00,30.00,6.00,99.50,0.50,200
24.00,5.65,4096.00,3.00,97.00,200
24.00,30.00,15.00,88.00,12.00,200
20.00,30.00,15.00,76.00,24.00,200
20.00,16.77,64.00,88.00,12.00,200
30.00,30.00,15.00,86.50,13.50,200
24.00,16.77,64.00,94.50,5.50,200
26.00,30.00,12.00,96.50,3.50,200
20.00,4.07,262144.00,2.00,98.00,200
22.00,30.00,9.00,99.50,0.50,200
20.00,30.00,9.00,99.50,0.50,200
