arrival_rate,bp_parameter_L,bp_parameter_H,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
32,13.000000,262144,57428059.143089,37027974.814240,29675668.317678,29619626.692121,29611570.548927,29615233.558218
32,15.300000,32768,86074940.650859,56040672.990503,46079216.209758,46081516.761669,46093239.899701,46074890.915288
32,19.700000,4096,108284349.707151,83981593.203022,81284680.483818,78575887.555453,78572377.062749,78579681.046406
32,32.300000,512,265421620.999089,268396886.631146,270633276.759495,270633276.470442,270632194.801178,270633276.773916
32,90.000000,36,272273719.233938,272273719.233938,272273719.233938,272273719.233938,272273719.233938,272273719.233938
32,90.000000,27,269596999.929738,269596999.929738,269596999.929738,269596999.929738,269596999.929738,269596999.929738
32,90.000000,18,269948321.489001,269948321.489001,269948321.489001,269948321.489001,269948321.489001,269948321.489001
