arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
40,90.000000,27,28632999.328004,28632999.328004,28632999.328004,28632999.328004,28632999.328004,28632999.328004
40,90.000000,36,29782996.502163,29782996.502163,29782996.502163,29782996.502163,29782996.502163,29782996.502163
40,32.300000,512,28447382.730861,29365057.315421,29610255.204441,29610255.204441,29599235.896022,29610255.204441
40,90.000000,18,29296145.774204,29296145.774204,29296145.774204,29296145.774204,29296145.774204,29296145.774204
40,13.000000,262144,7124032.358721,3820737.124204,2477311.910819,2477117.780678,2477167.731765,2477247.205261
40,19.700000,4096,12653908.683220,7639057.919090,7640949.505956,7639122.834777,7641853.016060,7641860.579527
40,15.300000,32768,7493278.371744,4539443.421784,4059037.886314,4060105.374854,4105241.221098,4056630.339263
