frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1576092.467889,251096.000000,105.042848
4,1798706.895454,239761.000000,13707.433896
8,753824.684305,165278.000000,169.398937
16,1427447.608218,232996.000000,82855.944983
32,2317920.754391,302136.000000,112544.734133
64,2030520.944983,291700.000000,49732.485651
128,2505098.939189,300236.000000,12983.475844
256,3036698.754568,300399.000000,175279.069780
512,2892605.243497,298045.000000,13852.144816
1024,2341934.059843,297837.000000,230747.289195
2048,3304663.480841,298486.000000,1431882.202692
4096,4396066.800059,304378.000000,773139.109773
8192,2416426.755074,247653.000000,435889.483416
16384,2362556.130940,186151.000000,1474203.554323
32768,2726338.776378,282695.000000,1577663.471339
65536,3900118.863583,295982.000000,0.000000
