frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,2028219.664036,290076.000000,67.096945
4,2451211.717676,301658.000000,54.644304
8,1729527.673501,282155.000000,137.688053
16,2780530.673900,289856.000000,273394.066598
32,2440840.369561,295362.000000,33527.619689
64,3370289.006565,299869.000000,30495.273109
128,3133348.182910,292403.000000,54647.085512
256,2891015.179541,284100.000000,392057.369674
512,2906501.326433,272337.000000,334955.276268
1024,3515003.711027,297127.000000,334985.751188
2048,1757112.282184,298423.000000,450556.655790
4096,2150180.421510,300748.000000,211118.784702
8192,5395957.586038,289538.000000,2609142.070781
16384,4224358.280238,287184.000000,1983101.391701
32768,4675570.484745,304717.000000,2721929.328279
65536,631486.427084,68512.000000,628763.261619
