frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1643339.195152,287698.000000,4274.666537
4,1091805.046469,273992.000000,43.829214
8,1852478.270933,269569.000000,29039.850774
16,637782.658662,126775.000000,252.075386
32,1905451.149956,301836.000000,3190.745054
64,2417555.610347,278740.000000,2537.358863
128,3050088.209073,301685.000000,89760.292396
256,2483937.750597,300875.000000,219608.698919
512,2882028.624566,295362.000000,322597.000129
1024,3178906.948119,292841.000000,175910.404508
2048,2709967.689786,303284.000000,510198.754762
4096,1755063.856627,187432.000000,441641.475865
8192,2163845.368858,206510.000000,394803.121981
16384,3609718.427802,296257.000000,1807062.354795
32768,3095670.055622,275033.000000,1797426.871293
65536,935470.781183,125289.000000,0.000000
