frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1351702.162298,262055.000000,73.443856
4,2016141.890481,298762.000000,784.016581
8,1883231.584878,291825.000000,103.377947
16,2166041.306547,284030.000000,115947.041183
32,2618477.207724,283085.000000,12986.746783
64,2425270.887066,298525.000000,11009.058180
128,2283665.011010,285635.000000,11498.964997
256,2736791.690174,298395.000000,183121.713388
512,2692453.379585,299132.000000,25983.791063
1024,2347848.198827,296887.000000,228236.077823
2048,2852143.459896,300568.000000,829788.806469
4096,3200217.159645,303854.000000,785989.346949
8192,2710897.625470,282565.000000,1220408.754491
16384,2458808.776950,254093.000000,975742.216654
32768,3252161.237036,265907.000000,1181108.014999
65536,3515331.176678,255227.000000,3424116.310154
