frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,2200730.832663,297525.000000,71.035203
4,1778324.726364,299712.000000,197.752370
8,1529240.455214,286056.000000,178.549713
16,1543049.860112,296249.000000,506.360543
32,2751195.443911,298192.000000,121971.832556
64,2959485.972131,296889.000000,35755.330260
128,2302700.750177,299087.000000,98608.100428
256,2810190.419978,284607.000000,139483.162353
512,2730656.059658,295107.000000,12445.904427
1024,1942612.143507,188965.000000,260580.452262
2048,3182942.449172,288240.000000,435396.815816
4096,2562559.739344,297872.000000,920479.149515
8192,2495664.590568,299884.000000,596918.606998
16384,3191594.156615,259691.000000,2384400.418876
32768,4520859.088176,296815.000000,1737283.043584
65536,1709929.575295,213069.000000,682767.696017
