frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,587473.421984,143664.000000,128.101522
4,1449171.316369,248682.000000,932.885845
8,2573712.822090,289676.000000,278115.027647
16,2311039.895359,275189.000000,197.025379
32,1798620.808453,294868.000000,1007.561909
64,2241147.850181,290005.000000,1024.177719
128,2500251.926942,300603.000000,165388.380426
256,1860488.112497,292639.000000,107867.123189
512,2791743.501633,277974.000000,374658.856882
1024,2622964.580405,296763.000000,286237.376578
2048,2792660.155690,295978.000000,524255.792715
4096,2726937.868642,289433.000000,1087372.913560
8192,3352062.060436,289261.000000,1633825.422461
16384,2695108.815893,220939.000000,1811399.414393
32768,3767506.129440,241980.000000,3368168.411173
65536,3258148.600142,243385.000000,2771058.834466
