frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1862317.716861,283052.000000,121.753850
4,2514511.282756,279946.000000,223.136729
8,1421638.490871,259505.000000,170944.096271
16,668780.505147,189824.000000,630.180926
32,1552524.773215,292182.000000,350.178526
64,2837182.290378,292348.000000,48943.976330
128,2720282.018482,284964.000000,185703.900710
256,3552169.883745,300349.000000,239969.003507
512,2462315.612943,265035.000000,155171.599061
1024,2255106.178272,292138.000000,60183.315537
2048,3283160.685215,294870.000000,50638.695125
4096,3166132.489956,268389.000000,168692.107551
8192,1856816.559727,223184.000000,549593.324094
16384,3307474.131977,269829.000000,2405886.815870
32768,2353700.688607,207946.000000,1485400.110030
65536,3669505.781987,243482.000000,2898099.164816
