Round,Algorithm_Used
1,SRPT
2,SRPT
3,SRPT
4,SRPT
5,SRPT
6,SRPT
7,SRPT
8,SRPT
9,SRPT
10,SRPT
11,SRPT
12,SRPT
13,SRPT
14,SRPT
15,SRPT
16,SRPT
17,SRPT
18,SRPT
19,SRPT
20,SRPT
21,SRPT
22,SRPT
23,SRPT
24,SRPT
25,SRPT
26,SRPT
27,SRPT
28,SRPT
29,SRPT
30,SRPT
31,SRPT
32,SRPT
33,SRPT
34,SRPT
35,SRPT
36,SRPT
37,SRPT
38,SRPT
39,SRPT
40,SRPT
41,SRPT
42,SRPT
43,SRPT
44,SRPT
45,FCFS
46,SRPT
47,SRPT
48,SRPT
49,SRPT
50,SRPT
51,SRPT
52,SRPT
53,SRPT
54,SRPT
55,SRPT
56,SRPT
57,SRPT
58,SRPT
59,SRPT
60,SRPT
61,SRPT
62,SRPT
63,SRPT
64,SRPT
65,FCFS
66,SRPT
67,SRPT
68,SRPT
69,SRPT
70,SRPT
71,SRPT
72,SRPT
73,SRPT
74,SRPT
75,SRPT
76,SRPT
77,SRPT
78,SRPT
79,SRPT
80,SRPT
81,SRPT
82,SRPT
83,SRPT
84,SRPT
85,FCFS
86,SRPT
87,SRPT
88,SRPT
89,SRPT
90,SRPT
91,SRPT
92,SRPT
93,SRPT
94,SRPT
95,SRPT
96,SRPT
97,SRPT
98,SRPT
99,SRPT
100,SRPT
