frequency,Setf,Sjf,Fcfs,RMLF,Srpt,RR,Bal,DYNAMIC_mode1_njobs10,DYNAMIC_mode1_njobs100,DYNAMIC_mode1_njobs500,DYNAMIC_mode1_njobs1000,DYNAMIC_mode1_njobs5000,DYNAMIC_mode1_njobs10000,DYNAMIC_mode2_njobs10,DYNAMIC_mode2_njobs100,DYNAMIC_mode2_njobs500,DYNAMIC_mode2_njobs1000,DYNAMIC_mode2_njobs5000,DYNAMIC_mode2_njobs10000,DYNAMIC_mode3_njobs10,DYNAMIC_mode3_njobs100,DYNAMIC_mode3_njobs500,DYNAMIC_mode3_njobs1000,DYNAMIC_mode3_njobs5000,DYNAMIC_mode3_njobs10000,RFdynamic_C_mode1_cp100,RFdynamic_NC_mode1_cp100,RFdynamic_C_mode1_cp500,RFdynamic_NC_mode1_cp500,RFdynamic_C_mode1_cp1000,RFdynamic_NC_mode1_cp1000,RFdynamic_C_mode1_cp5000,RFdynamic_NC_mode1_cp5000,RFdynamic_C_mode1_cp10000,RFdynamic_NC_mode1_cp10000,RFdynamic_C_mode2_cp100,RFdynamic_NC_mode2_cp100,RFdynamic_C_mode2_cp500,RFdynamic_NC_mode2_cp500,RFdynamic_C_mode2_cp1000,RFdynamic_NC_mode2_cp1000,RFdynamic_C_mode2_cp5000,RFdynamic_NC_mode2_cp5000,RFdynamic_C_mode2_cp10000,RFdynamic_NC_mode2_cp10000,RFdynamic_C_mode3_cp100,RFdynamic_NC_mode3_cp100,RFdynamic_C_mode3_cp500,RFdynamic_NC_mode3_cp500,RFdynamic_C_mode3_cp1000,RFdynamic_NC_mode3_cp1000,RFdynamic_C_mode3_cp5000,RFdynamic_NC_mode3_cp5000,RFdynamic_C_mode3_cp10000,RFdynamic_NC_mode3_cp10000
freq_1,983484.7692491226,425898.6784682479,966772.7579147025,722323.1299972333,426020.9006492522,664588.8839651172,405534.11996279674,426020.9006492522,426020.9006492522,426020.9006492522,426020.9006492522,426020.9006492522,426020.9006492522,426020.9006492522,426020.9006492522,426020.9006492522,426020.9006492522,426020.9006492522,426020.9006492522,426020.9006492522,426020.9006492522,426020.9006492522,426020.9006492522,426020.9006492522,426020.9006492522,1004027.865231837,709640.4076650371,1003958.547207005,866224.6307373163,1010219.610951005,966772.7579147025,937822.5065464147,966772.7579147025,850033.514816916,966772.7579147025,966772.790629215,712295.5560580173,966777.1581176295,866487.7294786118,966799.2978803822,966772.7579147025,969046.0296652579,966772.7579147025,986135.6053550647,966772.7579147025,966772.7909498694,708662.291466817,966777.1581176295,866489.436984664,966799.3199847629,966772.7579147025,969046.0296652579,966772.7579147025,986135.6053550647,966772.7579147025
freq_10,465684.5108536465,202156.02983092045,508566.04889433976,370754.77809463226,202383.57535383152,300233.7954411528,192541.91932148178,201889.28098836748,202383.57535383152,202383.57535383152,202383.57535383152,202383.57535383152,202383.57535383152,201768.26753481332,202383.57535383152,202383.57535383152,202383.57535383152,202383.57535383152,202383.57535383152,201697.26083167316,202383.57535383152,202383.57535383152,202383.57535383152,202383.57535383152,202383.57535383152,559723.805373686,409829.4493151999,461350.9113581548,497620.8554562399,516135.2259970249,508566.04889433976,435511.9341085844,508566.04889433976,447188.2247465825,508566.04889433976,508566.20692197,456520.41341105435,508571.7977699904,497593.75390975317,508604.97361410066,508566.04889433976,508362.547771765,508566.04889433976,496154.8563049645,508566.04889433976,508566.20692197,456518.1710589404,508571.7977699904,497620.7875511231,508604.97361410066,508566.04889433976,508362.547771765,508566.04889433976,496154.8563049645,508566.04889433976
freq_100,390785.50614115666,192487.41168710229,318835.9721690763,342905.42956622894,192760.7286300817,294694.7386296539,180441.8111054087,192760.7286300817,192760.7286300817,192760.7286300817,192760.7286300817,192760.7286300817,192760.7286300817,192760.66904584036,192760.7286300817,192760.7286300817,192760.7286300817,192760.7286300817,192760.7286300817,192760.66904584036,192760.7286300817,192760.7286300817,192760.7286300817,192760.7286300817,192760.7286300817,344221.54786852025,353275.6070704571,358390.3497417306,335415.21689839894,371822.3987739308,318835.9721690763,364430.3456505783,318835.9721690763,354592.5987679382,318835.9721690763,318835.98651030596,339447.40141147055,318836.52027959406,335419.6870519082,318840.7535808432,318835.9721690763,318482.18001640216,318835.9721690763,325753.0119262138,318835.9721690763,318835.98651030596,359208.79349898995,318836.52027959406,335395.09148018254,318840.7535808432,318835.9721690763,318452.60075245105,318835.9721690763,325753.0119262138,318835.9721690763
freq_500,1258376.8517411626,655153.8139879826,1099166.5419302937,1104703.3262776935,655252.3329161064,1054654.1251073738,653102.5383498367,655252.3329161064,655252.3329161064,655252.3329161064,655252.3329161064,655252.3329161064,655252.3329161064,655252.3329161064,655252.3329161064,655252.3329161064,655252.3329161064,655252.3329161064,655252.3329161064,655252.3329161064,655252.3329161064,655252.3329161064,655252.3329161064,655252.3329161064,655252.3329161064,1164376.6366279426,1099166.5419302937,1139353.739422924,1099166.5419302937,1122737.2512084027,1099166.5419302937,1106562.8858528556,1099166.5419302937,1142366.4623048946,1099166.5419302937,1099166.58567935,1099166.5419302937,1099177.792143291,1099166.5419302937,1099262.88107213,1099166.5419302937,1106562.8858528556,1099166.5419302937,1142366.4623048946,1099166.5419302937,1099166.58567935,1099166.5419302937,1099177.792143291,1099166.5419302937,1099262.88107213,1099166.5419302937,1106562.8858528556,1099166.5419302937,1142366.4623048946,1099166.5419302937
freq_1000,11696.37948255784,15891.475859718003,22980.074238348316,11691.384905134208,9744.242813066596,11744.143008325469,9730.218856736985,9744.242813066596,9744.242813066596,9744.242813066596,9744.242813066596,9744.242813066596,9744.242813066596,9744.242813066596,9744.242813066596,9744.242813066596,9744.242813066596,9744.242813066596,9744.242813066596,9744.242813066596,9744.242813066596,9744.242813066596,9744.242813066596,9744.242813066596,9744.242813066596,12600.062222068587,11762.077282521144,12841.837134927386,22167.865030263965,13709.309720040612,22980.074238348316,15923.124096734284,22980.074238348316,16889.895529576257,22980.074238348316,22979.23364692565,11763.913464489613,22979.414244057658,22167.865030263965,22959.91058344958,22980.074238348316,20435.466791830324,22980.074238348316,17049.316789830613,22980.074238348316,22979.23364692565,11756.039341546964,22973.904739943533,22167.845520031937,22959.91291359791,22980.074238348316,20436.31615531527,22980.074238348316,17049.987126094846,22980.074238348316
freq_10000,690081.0201845868,356326.0270805376,545041.469867202,604864.3222343338,355740.2309256011,550199.2809591811,330161.16311734787,355740.2309256011,355740.2309256011,355740.2309256011,355740.2309256011,355740.2309256011,355740.2309256011,355740.2309256011,355740.2309256011,355740.2309256011,355740.2309256011,355740.2309256011,355740.2309256011,355740.2309256011,355740.2309256011,355740.2309256011,355740.2309256011,355740.2309256011,355740.2309256011,582216.4946443891,545041.469867202,558247.2272147888,545041.469867202,554624.8206301265,545041.469867202,584857.5293000852,545041.469867202,613690.0376566333,545041.469867202,545041.729360239,545041.469867202,545051.4039583789,545041.469867202,545097.4147278632,545041.469867202,548495.5739611761,545041.469867202,574282.6701816798,545041.469867202,545041.729360239,545041.469867202,545051.4039583789,545041.469867202,545097.4147278632,545041.469867202,548495.5739611761,545041.469867202,574282.6701816798,545041.469867202
