frequency,Setf,Sjf,Fcfs,RMLF,Srpt,Bal,RR,DYNAMIC_mode1_njobs10,DYNAMIC_mode1_njobs100,DYNAMIC_mode1_njobs500,DYNAMIC_mode1_njobs1000,DYNAMIC_mode1_njobs5000,DYNAMIC_mode1_njobs10000,DYNAMIC_mode2_njobs10,DYNAMIC_mode2_njobs100,DYNAMIC_mode2_njobs500,DYNAMIC_mode2_njobs1000,DYNAMIC_mode2_njobs5000,DYNAMIC_mode2_njobs10000,DYNAMIC_mode3_njobs10,DYNAMIC_mode3_njobs100,DYNAMIC_mode3_njobs500,DYNAMIC_mode3_njobs1000,DYNAMIC_mode3_njobs5000,DYNAMIC_mode3_njobs10000,RFdynamic_C_mode1_cp100,RFdynamic_NC_mode1_cp100,RFdynamic_C_mode1_cp500,RFdynamic_NC_mode1_cp500,RFdynamic_C_mode1_cp1000,RFdynamic_NC_mode1_cp1000,RFdynamic_C_mode1_cp5000,RFdynamic_NC_mode1_cp5000,RFdynamic_C_mode1_cp10000,RFdynamic_NC_mode1_cp10000,RFdynamic_C_mode2_cp100,RFdynamic_NC_mode2_cp100,RFdynamic_C_mode2_cp500,RFdynamic_NC_mode2_cp500,RFdynamic_C_mode2_cp1000,RFdynamic_NC_mode2_cp1000,RFdynamic_C_mode2_cp5000,RFdynamic_NC_mode2_cp5000,RFdynamic_C_mode2_cp10000,RFdynamic_NC_mode2_cp10000,RFdynamic_C_mode3_cp100,RFdynamic_NC_mode3_cp100,RFdynamic_C_mode3_cp500,RFdynamic_NC_mode3_cp500,RFdynamic_C_mode3_cp1000,RFdynamic_NC_mode3_cp1000,RFdynamic_C_mode3_cp5000,RFdynamic_NC_mode3_cp5000,RFdynamic_C_mode3_cp10000,RFdynamic_NC_mode3_cp10000
freq_1,385667.48911594815,189265.35960920053,468061.4293316637,320190.50427675084,189331.2878131874,184338.2395380839,299764.5338778422,189331.2878131874,189331.2878131874,189331.2878131874,189331.2878131874,189331.2878131874,189331.2878131874,189331.2878131874,189331.2878131874,189331.2878131874,189331.2878131874,189331.2878131874,189331.2878131874,189331.2878131874,189331.2878131874,189331.2878131874,189331.2878131874,189331.2878131874,189331.2878131874,389844.7655747092,373177.370011902,363442.0113580707,441115.99753919605,376177.5765087547,468061.4293316637,401522.1523129203,468061.4293316637,413277.70304602693,468061.4293316637,468061.44181613595,442701.09890082723,468061.01701487595,441137.141894672,468064.70799986616,468061.4293316637,465563.82875068806,468061.4293316637,466258.53352834197,468061.4293316637,468061.44181613595,355571.85930976033,468061.01701487595,441235.5593195091,468064.71170768683,468061.4293316637,465563.82875068806,468061.4293316637,466258.53352834197,468061.4293316637
freq_10,394536.83481393725,178493.68940945785,379175.0427849913,306446.56430934253,179233.05245963982,169469.98695049222,273024.53211570566,179229.25844013304,179233.05245963982,179233.05245963982,179233.05245963982,179233.05245963982,179233.05245963982,179232.34597583103,179233.05245963982,179233.05245963982,179233.05245963982,179233.05245963982,179233.05245963982,179230.64229366585,179233.05245963982,179233.05245963982,179233.05245963982,179233.05245963982,179233.05245963982,371861.0270006794,328533.38039383455,347946.5535524098,333682.34600889514,342296.5100976053,379175.0427849913,337704.22255725495,379175.0427849913,325819.44764547126,379175.0427849913,379175.05391837156,343562.23902664275,379175.1123781728,333666.79180883436,379178.53200834035,379175.0427849913,379238.6789107883,379175.0427849913,384893.7579215854,379175.0427849913,379175.05391837156,343563.0280690866,379175.1123781728,333672.1624828778,379178.53200834035,379175.0427849913,379238.6789107883,379175.0427849913,384893.7579215854,379175.0427849913
freq_100,363925.0996166656,224106.0834828006,555939.2432442596,342933.42260269704,212981.920979223,208395.87001425916,336483.1602145938,212981.920979223,212981.920979223,212981.920979223,212981.920979223,212981.920979223,212981.920979223,321655.95816026785,212981.920979223,212981.920979223,212981.920979223,212981.920979223,212981.920979223,212981.920979223,212981.920979223,212981.920979223,212981.920979223,212981.920979223,212981.920979223,422111.43014137866,417233.6611001083,592890.8196067805,517692.72221849905,574642.7190698582,555939.2432442596,447875.8211011173,555939.2432442596,460630.361561198,555939.2432442596,555940.1460049454,547061.1360497107,555968.7290378839,517686.8550233819,556126.6560146168,555939.2432442596,556261.4735661638,555939.2432442596,533639.2505588396,555939.2432442596,555940.1460049454,525102.364701398,555968.7290378839,517681.8095712848,556126.2764480744,555939.2432442596,556261.4735661638,555939.2432442596,533639.2505588396,555939.2432442596
freq_500,14219.24220906304,7054.142470917354,10399.579558809097,12317.382554747579,6465.878594591767,6461.145641447807,8551.526354984822,5882.46249456807,6388.2200181271155,6465.878594591767,6465.878594591767,6465.878594591767,6465.878594591767,6001.22045920661,6388.2200181271155,6465.878594591767,6465.878594591767,6465.878594591767,6465.878594591767,5934.386404675718,6388.2200181271155,6465.878594591767,6465.878594591767,6465.878594591767,6465.878594591767,9991.692349146864,10399.579558809097,9130.262208721062,10399.579558809097,8917.651316350062,10399.579558809097,12541.450474327123,10399.579558809097,11202.28168722783,10399.579558809097,10399.708649765145,9984.158251950937,10401.693900514474,10399.579558809097,10630.975825388748,10399.579558809097,12541.450474327123,10399.579558809097,11593.651021140839,10399.579558809097,10399.708649765145,9951.187517075537,10401.693900514474,10399.579558809097,10630.975825388748,10399.579558809097,12541.450474327123,10399.579558809097,11593.651021140839,10399.579558809097
freq_1000,681479.4224941792,307869.48316291434,806528.6923110671,501689.9994099942,307764.33487491694,296403.2877348023,478131.17762074457,307764.33487491694,307764.33487491694,307764.33487491694,307764.33487491694,307764.33487491694,307764.33487491694,307764.33487491694,307764.33487491694,307764.33487491694,307764.33487491694,307764.33487491694,307764.33487491694,307764.33487491694,307764.33487491694,307764.33487491694,307764.33487491694,307764.33487491694,307764.33487491694,773944.9897389349,555538.9388791752,699726.1692819556,783212.6861523631,571243.7178971862,806528.6923110671,766702.8529163043,806528.6923110671,811400.5157214284,806528.6923110671,806528.7089298186,595176.7331759534,806528.1573373617,783088.7665009631,806593.4059301502,806528.6923110671,815318.2298795974,806528.6923110671,876848.1055889897,806528.6923110671,806528.7089298186,595438.4994203851,806528.1573373617,783086.7852990497,806593.4059301502,806528.6923110671,815318.2298795974,806528.6923110671,876848.1055889897,806528.6923110671
freq_10000,1626609.774970014,945511.046380739,1368773.5375762493,1589434.5155548246,945513.9037359525,952168.1041822395,1546499.6156071296,945513.9037359525,945513.9037359525,945513.9037359525,945513.9037359525,945513.9037359525,945513.9037359525,945513.9037359525,945513.9037359525,945513.9037359525,945513.9037359525,945513.9037359525,945513.9037359525,945513.9037359525,945513.9037359525,945513.9037359525,945513.9037359525,945513.9037359525,945513.9037359525,1440872.3660977054,1368773.5375762493,1405895.7963750372,1368773.5375762493,1391988.2199893072,1368773.5375762493,1380352.9453574545,1368773.5375762493,1450972.8094754221,1368773.5375762493,1368773.6704682042,1368773.5375762493,1368786.5329659698,1368773.5375762493,1368870.3908679595,1368773.5375762493,1380352.9453574545,1368773.5375762493,1450972.8094754221,1368773.5375762493,1368773.6704682042,1368773.5375762493,1368786.5329659698,1368773.5375762493,1368870.3908679595,1368773.5375762493,1380352.9453574545,1368773.5375762493,1450972.8094754221,1368773.5375762493
