frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,17195016.12329032,1024804
4,16720664.087065112,1054639
8,16612029.473137923,935884
16,18081754.225811664,1043837
32,17562547.522058807,1135036
64,17628094.995225918,1048867
128,18128319.60555277,1019553
256,18354019.078322083,997791
512,17826519.539503384,983637
1024,19209626.48877375,1024419
2048,19163023.236273393,1172347
4096,16518618.88078834,997557
8192,14211674.29825807,937146
16384,16546926.022062737,1037897
32768,17377085.7597409,1036110
65536,27165298.850453477,998934
