frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,16936359.603529472,1128462
4,16756749.677339517,1145911
8,17832445.05111531,1040139
16,16926443.299256284,1023224
32,17182023.912710693,1022137
64,17009428.68720975,1191026
128,18217956.221124176,1078774
256,18256126.550936922,1075120
512,18542636.16610052,1078510
1024,17666690.183699522,1040578
2048,16484541.035726078,1061064
4096,15549577.608551623,1049771
8192,24358235.005978573,1109733
16384,15935215.776999947,878332
32768,23498585.127030734,1097075
65536,18225293.589050356,1140905
