frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,17431283.006114237,1092057
4,15539560.737096947,1018369
8,17655331.2286662,1113038
16,17564104.94514494,1069623
32,16866685.604651023,1078857
64,17205392.332888488,990942
128,17896023.64843291,1067762
256,17901273.155265216,1031581
512,17813173.74334049,1048999
1024,17945502.09157094,1017412
2048,19901262.382811725,1064451
4096,18325445.273868244,1000752
8192,15122614.179504547,986214
16384,16990920.962070774,1022155
32768,29174338.130249966,1198244
65536,22121069.707359497,903761
