frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,17177741.266997475,1066543
4,17728238.240104966,1052832
8,17134746.973632146,1025641
16,17333676.842785176,1067704
32,17133258.001482703,1006810
64,16922276.85056937,949394
128,18113438.566771552,1047660
256,18243293.63483949,1149151
512,17768294.17529761,1130222
1024,17581594.158932377,1057267
2048,16419568.886060802,985707
4096,19879895.45440325,1108938
8192,15950263.950255275,990339
16384,15610745.815669827,1039830
32768,12729153.62892942,864063
65536,27866613.749257352,1483574
